d: 20
lambda: 0.001
gamma: 0.8
rho: 3.0
fnTrainingData: ../ML1M/generality/copy2.train
fnTestData: ../ML1M/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_3_10_15_1M_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
start_hybrid_averaging_iterations: 10
local_train_iterations: 15
Iter:0| MAE:2.5824826| RMSE:2.8137915
Iter:1| MAE:2.5824826| RMSE:2.8137915
Iter:2| MAE:2.5824826| RMSE:2.8137915
Iter:3| MAE:2.5824826| RMSE:2.8137915
Iter:4| MAE:2.5824826| RMSE:2.8137915
Iter:5| MAE:2.5824826| RMSE:2.8137915
Iter:6| MAE:2.5824826| RMSE:2.8137915
Iter:7| MAE:2.5824826| RMSE:2.8137915
Iter:8| MAE:2.5016944| RMSE:2.7218263
Iter:9| MAE:0.7643448| RMSE:0.97488177
Iter:10| MAE:0.77961004| RMSE:0.97706205
Iter:11| MAE:0.77005017| RMSE:0.9788199
Iter:12| MAE:0.7642933| RMSE:0.9547841
Iter:13| MAE:0.744231| RMSE:0.9431733
Iter:14| MAE:0.74311966| RMSE:0.9352977
Iter:15| MAE:0.7371391| RMSE:0.93089116
Iter:16| MAE:0.7351026| RMSE:0.9278051
Iter:17| MAE:0.73311245| RMSE:0.9256007
Iter:18| MAE:0.7316838| RMSE:0.9239298
Iter:19| MAE:0.7305635| RMSE:0.9226397
Iter:20| MAE:0.72967184| RMSE:0.9216182
Iter:21| MAE:0.7289581| RMSE:0.920796
Iter:22| MAE:0.7283779| RMSE:0.9201328
Iter:23| MAE:0.7279035| RMSE:0.91958034
Iter:24| MAE:0.72749335| RMSE:0.91911954
Iter:25| MAE:0.7271341| RMSE:0.9187369
Iter:26| MAE:0.7268534| RMSE:0.9183999
Iter:27| MAE:0.72661126| RMSE:0.91812086
Iter:28| MAE:0.7264018| RMSE:0.9178739
Iter:29| MAE:0.72621554| RMSE:0.9176691
Iter:30| MAE:0.72604847| RMSE:0.91748816
Iter:31| MAE:0.7259084| RMSE:0.9173295
Iter:32| MAE:0.7257841| RMSE:0.9171889
Iter:33| MAE:0.7256766| RMSE:0.917067
Iter:34| MAE:0.72558117| RMSE:0.9169587
Iter:35| MAE:0.72549516| RMSE:0.9168658
Iter:36| MAE:0.72542775| RMSE:0.9167801
Iter:37| MAE:0.7253591| RMSE:0.916709
Iter:38| MAE:0.72530174| RMSE:0.91664463
Iter:39| MAE:0.7252486| RMSE:0.916585
Iter:40| MAE:0.72520065| RMSE:0.9165342
Iter:41| MAE:0.72516054| RMSE:0.9164891
Iter:42| MAE:0.7251225| RMSE:0.91645056
Iter:43| MAE:0.7250865| RMSE:0.91641337
Iter:44| MAE:0.7250534| RMSE:0.9163828
Iter:45| MAE:0.725021| RMSE:0.91635424
Iter:46| MAE:0.7249943| RMSE:0.91632736
Iter:47| MAE:0.72497237| RMSE:0.91630435
Iter:48| MAE:0.7249552| RMSE:0.916284
Iter:49| MAE:0.7249384| RMSE:0.9162682
Iter:50| MAE:0.72491795| RMSE:0.9162529
Iter:51| MAE:0.7249025| RMSE:0.91623724
Iter:52| MAE:0.7248896| RMSE:0.91622376
Iter:53| MAE:0.72487825| RMSE:0.9162114
Iter:54| MAE:0.7248688| RMSE:0.9162022
Iter:55| MAE:0.7248588| RMSE:0.9161933
Iter:56| MAE:0.72485167| RMSE:0.9161839
Iter:57| MAE:0.72484684| RMSE:0.91617614
Iter:58| MAE:0.7248398| RMSE:0.91616994
Iter:59| MAE:0.72483325| RMSE:0.91616404
Iter:60| MAE:0.72482955| RMSE:0.91615856
Iter:61| MAE:0.72482485| RMSE:0.91615367
Iter:62| MAE:0.72481966| RMSE:0.91614866
Iter:63| MAE:0.7248154| RMSE:0.9161448
Iter:64| MAE:0.7248124| RMSE:0.9161412
Iter:65| MAE:0.7248098| RMSE:0.91613764
Iter:66| MAE:0.7248068| RMSE:0.9161356
Iter:67| MAE:0.7248041| RMSE:0.91613376
Iter:68| MAE:0.7248005| RMSE:0.91613233
Iter:69| MAE:0.72479826| RMSE:0.9161298
Iter:70| MAE:0.724795| RMSE:0.9161279
Iter:71| MAE:0.72479343| RMSE:0.91612595
Iter:72| MAE:0.72479093| RMSE:0.91612434
Iter:73| MAE:0.7247896| RMSE:0.91612315
Iter:74| MAE:0.7247881| RMSE:0.91612226
Iter:75| MAE:0.7247878| RMSE:0.9161213
Iter:76| MAE:0.7247867| RMSE:0.9161204
Iter:77| MAE:0.724786| RMSE:0.9161191
Iter:78| MAE:0.7247859| RMSE:0.9161183
Iter:79| MAE:0.72478515| RMSE:0.9161174
Iter:80| MAE:0.7247834| RMSE:0.91611683
Iter:81| MAE:0.7247827| RMSE:0.9161164
Iter:82| MAE:0.72478235| RMSE:0.91611636
Iter:83| MAE:0.7247817| RMSE:0.91611594
Iter:84| MAE:0.7247814| RMSE:0.91611546
Iter:85| MAE:0.72478086| RMSE:0.9161152
Iter:86| MAE:0.7247804| RMSE:0.916115
Iter:87| MAE:0.7247804| RMSE:0.91611487
Iter:88| MAE:0.72477984| RMSE:0.9161143
Iter:89| MAE:0.72477967| RMSE:0.9161137
Iter:90| MAE:0.72477937| RMSE:0.9161134
Iter:91| MAE:0.7247792| RMSE:0.9161132
Iter:92| MAE:0.7247793| RMSE:0.9161129
Iter:93| MAE:0.7247792| RMSE:0.9161127
Iter:94| MAE:0.72477937| RMSE:0.9161128
Iter:95| MAE:0.7247789| RMSE:0.9161128
Iter:96| MAE:0.72477895| RMSE:0.91611266
Iter:97| MAE:0.72477895| RMSE:0.91611254
Iter:98| MAE:0.72477907| RMSE:0.9161126
Iter:99| MAE:0.7247787| RMSE:0.9161125
MAE:0.72477865| RMSE:0.9161123
