d: 20
lambda: 0.001
gamma: 0.8
rho: 2.0
fnTrainingData: ../ML100K/generality/copy3.train
fnTestData: ../ML100K/generality/copy3.test
fnOutputData: ./testResult/FPMF_0.001_2_100K_copy_3.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
MAE:2.53265| RMSE:2.7731118
MAE:2.53265| RMSE:2.7731118
MAE:2.53265| RMSE:2.7731118
MAE:2.53265| RMSE:2.7731118
MAE:2.53265| RMSE:2.7731118
MAE:2.53265| RMSE:2.7731118
MAE:2.53265| RMSE:2.7731118
MAE:2.53265| RMSE:2.7731118
MAE:1.072664| RMSE:1.2667323
MAE:1.0608926| RMSE:1.3686382
MAE:1.4490998| RMSE:1.6591116
MAE:0.9139375| RMSE:1.1920923
MAE:0.94874454| RMSE:1.1379086
MAE:0.79852| RMSE:1.03406
MAE:0.7951705| RMSE:0.9918014
MAE:0.7797978| RMSE:0.991001
MAE:0.7812575| RMSE:0.9883227
MAE:0.7809952| RMSE:0.9886579
MAE:0.7809144| RMSE:0.98853517
MAE:0.78092724| RMSE:0.98854613
MAE:0.78091705| RMSE:0.9885942
MAE:0.7808907| RMSE:0.988559
MAE:0.780833| RMSE:0.98854935
MAE:0.7808356| RMSE:0.9885489
MAE:0.7808643| RMSE:0.9885588
MAE:0.7809028| RMSE:0.9886027
MAE:0.7808795| RMSE:0.9886072
MAE:0.7808497| RMSE:0.9885845
MAE:0.78085953| RMSE:0.98857445
MAE:0.7808988| RMSE:0.9886083
MAE:0.780923| RMSE:0.9886319
MAE:0.780927| RMSE:0.98862964
MAE:0.78091735| RMSE:0.9886186
MAE:0.78092444| RMSE:0.9886152
MAE:0.7809202| RMSE:0.9886128
MAE:0.7809285| RMSE:0.9886264
MAE:0.7809103| RMSE:0.9886199
MAE:0.78090996| RMSE:0.9886222
MAE:0.7809074| RMSE:0.9886106
MAE:0.78092| RMSE:0.9886211
MAE:0.78091896| RMSE:0.98862606
MAE:0.7809066| RMSE:0.9886237
MAE:0.78091174| RMSE:0.9886273
MAE:0.7809048| RMSE:0.9886191
MAE:0.7809024| RMSE:0.9886117
MAE:0.78090125| RMSE:0.9886092
MAE:0.7809004| RMSE:0.98860586
MAE:0.7809001| RMSE:0.9886052
MAE:0.78090334| RMSE:0.98860717
MAE:0.7809013| RMSE:0.9886056
MAE:0.7809| RMSE:0.9886068
MAE:0.7809026| RMSE:0.9886072
MAE:0.7809033| RMSE:0.98860884
MAE:0.78090334| RMSE:0.9886063
MAE:0.78090394| RMSE:0.9886042
MAE:0.78090215| RMSE:0.9886026
MAE:0.7809015| RMSE:0.98860025
MAE:0.7809041| RMSE:0.9886011
MAE:0.7809047| RMSE:0.9885999
MAE:0.78090227| RMSE:0.98859805
MAE:0.78090286| RMSE:0.9885978
MAE:0.7809042| RMSE:0.98859876
MAE:0.7809039| RMSE:0.98859906
MAE:0.7809036| RMSE:0.9885988
MAE:0.7809036| RMSE:0.98859847
MAE:0.7809022| RMSE:0.98859775
MAE:0.78090215| RMSE:0.98859847
MAE:0.78090096| RMSE:0.9885977
MAE:0.780902| RMSE:0.98859745
MAE:0.78090227| RMSE:0.9885973
MAE:0.78090256| RMSE:0.98859656
MAE:0.78090274| RMSE:0.9885971
MAE:0.7809021| RMSE:0.9885978
MAE:0.7809018| RMSE:0.98859745
MAE:0.78090245| RMSE:0.9885977
MAE:0.78090286| RMSE:0.98859817
MAE:0.78090346| RMSE:0.98859864
MAE:0.7809025| RMSE:0.98859924
MAE:0.78090197| RMSE:0.9885988
MAE:0.78090227| RMSE:0.9885988
MAE:0.7809028| RMSE:0.98859864
MAE:0.7809034| RMSE:0.98859954
MAE:0.7809039| RMSE:0.98859936
MAE:0.7809046| RMSE:0.98859876
MAE:0.7809044| RMSE:0.988599
MAE:0.78090453| RMSE:0.98859924
MAE:0.78090423| RMSE:0.98859894
MAE:0.7809044| RMSE:0.98859906
MAE:0.78090394| RMSE:0.988599
MAE:0.7809039| RMSE:0.9885991
MAE:0.7809035| RMSE:0.9885988
MAE:0.78090364| RMSE:0.98859876
MAE:0.78090316| RMSE:0.98859876
MAE:0.78090334| RMSE:0.98859876
MAE:0.7809032| RMSE:0.98859876
MAE:0.7809033| RMSE:0.98859894
MAE:0.7809033| RMSE:0.9885989
MAE:0.7809031| RMSE:0.988599
MAE:0.7809029| RMSE:0.98859924
MAE:0.7809029| RMSE:0.98859924
MAE:0.78090286| RMSE:0.98859924
