d: 20
lambda: 0.001
gamma: 0.8
rho: 3.0
fnTrainingData: ../ML100K/generality/copy4.train
fnTestData: ../ML100K/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_3_100K_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
MAE:2.5244| RMSE:2.7652848
MAE:2.5244| RMSE:2.7652848
MAE:2.5244| RMSE:2.7652848
MAE:2.5244| RMSE:2.7652848
MAE:2.5244| RMSE:2.7652848
MAE:2.5244| RMSE:2.7652848
MAE:2.5244| RMSE:2.7652848
MAE:2.5243998| RMSE:2.7652845
MAE:1.0058888| RMSE:1.1941221
MAE:1.0207386| RMSE:1.3256601
MAE:1.3394797| RMSE:1.5440493
MAE:0.9219171| RMSE:1.2054765
MAE:0.9594043| RMSE:1.1462524
MAE:0.80249274| RMSE:1.0387956
MAE:0.800351| RMSE:0.9943883
MAE:0.7848941| RMSE:0.99419284
MAE:0.78639513| RMSE:0.9912233
MAE:0.78598714| RMSE:0.99156004
MAE:0.7860021| RMSE:0.9915309
MAE:0.7859517| RMSE:0.9914927
MAE:0.7860362| RMSE:0.9915369
MAE:0.7859628| RMSE:0.99146366
MAE:0.7859528| RMSE:0.99145603
MAE:0.78597736| RMSE:0.99146664
MAE:0.7859655| RMSE:0.9914951
MAE:0.78594255| RMSE:0.99148136
MAE:0.78591275| RMSE:0.991436
MAE:0.78592134| RMSE:0.991426
MAE:0.7859205| RMSE:0.99144393
MAE:0.78587866| RMSE:0.99141383
MAE:0.7858953| RMSE:0.99141824
MAE:0.7859096| RMSE:0.9914341
MAE:0.7859114| RMSE:0.9914318
MAE:0.78589535| RMSE:0.99142325
MAE:0.7858999| RMSE:0.9914248
MAE:0.78590757| RMSE:0.991425
MAE:0.7859117| RMSE:0.99142665
MAE:0.7859211| RMSE:0.9914371
MAE:0.7859043| RMSE:0.99141556
MAE:0.7859025| RMSE:0.99141544
MAE:0.7859086| RMSE:0.99141824
MAE:0.785909| RMSE:0.9914198
MAE:0.78591573| RMSE:0.9914255
MAE:0.7859188| RMSE:0.9914305
MAE:0.7859223| RMSE:0.9914325
MAE:0.7859231| RMSE:0.99143183
MAE:0.7859236| RMSE:0.9914308
MAE:0.78592217| RMSE:0.9914322
MAE:0.78592724| RMSE:0.99143493
MAE:0.7859251| RMSE:0.99143535
MAE:0.78592527| RMSE:0.9914388
MAE:0.78592527| RMSE:0.991436
MAE:0.78592753| RMSE:0.9914374
MAE:0.78592795| RMSE:0.9914374
MAE:0.78592634| RMSE:0.9914374
MAE:0.7859285| RMSE:0.9914411
MAE:0.7859266| RMSE:0.9914395
MAE:0.78592634| RMSE:0.99143934
MAE:0.7859268| RMSE:0.9914382
MAE:0.7859261| RMSE:0.9914386
MAE:0.7859276| RMSE:0.99143946
MAE:0.7859278| RMSE:0.99144036
MAE:0.7859261| RMSE:0.99144053
MAE:0.7859263| RMSE:0.9914402
MAE:0.78592813| RMSE:0.9914404
MAE:0.78592944| RMSE:0.9914414
MAE:0.7859293| RMSE:0.9914417
MAE:0.78592974| RMSE:0.99144095
MAE:0.7859297| RMSE:0.9914415
MAE:0.78592956| RMSE:0.99144137
MAE:0.78593016| RMSE:0.9914416
MAE:0.78592986| RMSE:0.99144214
MAE:0.7859299| RMSE:0.9914414
MAE:0.78593034| RMSE:0.9914413
MAE:0.7859307| RMSE:0.9914419
MAE:0.7859305| RMSE:0.991441
MAE:0.7859305| RMSE:0.99144065
MAE:0.7859306| RMSE:0.9914408
MAE:0.7859307| RMSE:0.9914408
MAE:0.7859304| RMSE:0.99144065
MAE:0.7859304| RMSE:0.9914412
MAE:0.7859304| RMSE:0.99144125
MAE:0.78593045| RMSE:0.9914411
MAE:0.78593045| RMSE:0.9914412
MAE:0.7859301| RMSE:0.9914412
MAE:0.7859303| RMSE:0.99144125
MAE:0.7859304| RMSE:0.9914412
MAE:0.78593045| RMSE:0.99144137
MAE:0.7859304| RMSE:0.9914414
MAE:0.7859307| RMSE:0.9914413
MAE:0.78593045| RMSE:0.9914415
MAE:0.7859305| RMSE:0.9914418
MAE:0.78593063| RMSE:0.99144167
MAE:0.7859304| RMSE:0.9914419
MAE:0.78593034| RMSE:0.99144197
MAE:0.7859304| RMSE:0.99144185
MAE:0.78593034| RMSE:0.9914416
MAE:0.7859304| RMSE:0.9914417
MAE:0.78593034| RMSE:0.9914417
MAE:0.7859303| RMSE:0.9914418
MAE:0.7859304| RMSE:0.99144185
