d: 20
lambda: 0.001
gamma: 0.8
rho: 1.0
fnTrainingData: ../ML100K/generality/copy1.train
fnTestData: ../ML100K/generality/copy1.test
fnOutputData: ./testResult/FPMF_0.001_1_100K_copy_1.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5131142| RMSE:2.7524824
MAE:0.7829584| RMSE:0.9882519
MAE:0.77840084| RMSE:0.9967848
MAE:0.78773767| RMSE:0.98416597
MAE:0.77498543| RMSE:0.9960288
MAE:0.7843803| RMSE:0.9818325
MAE:0.77171224| RMSE:0.9854576
MAE:0.7750021| RMSE:0.97923815
MAE:0.77224195| RMSE:0.98025805
MAE:0.7726916| RMSE:0.9796482
MAE:0.7727422| RMSE:0.9797361
MAE:0.77260745| RMSE:0.9795938
MAE:0.7727327| RMSE:0.97960484
MAE:0.77274925| RMSE:0.97967446
MAE:0.77276534| RMSE:0.9796815
MAE:0.7726469| RMSE:0.9796039
MAE:0.77269524| RMSE:0.97963923
MAE:0.77268255| RMSE:0.97967285
MAE:0.77268445| RMSE:0.97966456
MAE:0.7726682| RMSE:0.97965527
MAE:0.7726236| RMSE:0.9796129
MAE:0.77260154| RMSE:0.9795861
MAE:0.77263296| RMSE:0.97963494
MAE:0.77259445| RMSE:0.9796238
MAE:0.7725891| RMSE:0.97960305
MAE:0.7726104| RMSE:0.97959715
MAE:0.7726167| RMSE:0.97962433
MAE:0.77261347| RMSE:0.9796228
MAE:0.7726177| RMSE:0.97962797
MAE:0.77262443| RMSE:0.9796242
MAE:0.7726272| RMSE:0.97963
MAE:0.77264667| RMSE:0.9796516
MAE:0.77263546| RMSE:0.9796356
MAE:0.77264446| RMSE:0.9796435
MAE:0.7726338| RMSE:0.9796401
MAE:0.7726228| RMSE:0.9796352
MAE:0.77261776| RMSE:0.97963685
MAE:0.772594| RMSE:0.9796199
MAE:0.7725964| RMSE:0.9796166
MAE:0.7725967| RMSE:0.9796102
MAE:0.7725961| RMSE:0.97961193
MAE:0.7725969| RMSE:0.9796102
MAE:0.7725994| RMSE:0.9796131
MAE:0.77259696| RMSE:0.9796122
MAE:0.77259713| RMSE:0.979616
MAE:0.772596| RMSE:0.97961426
MAE:0.772593| RMSE:0.9796146
MAE:0.7725924| RMSE:0.9796141
MAE:0.7725904| RMSE:0.97961295
MAE:0.77259004| RMSE:0.9796118
MAE:0.7725893| RMSE:0.9796114
MAE:0.7725884| RMSE:0.97961223
MAE:0.77258915| RMSE:0.9796122
MAE:0.77258956| RMSE:0.9796122
MAE:0.77258825| RMSE:0.9796122
MAE:0.77258945| RMSE:0.9796103
MAE:0.772588| RMSE:0.9796102
MAE:0.772588| RMSE:0.9796104
MAE:0.7725891| RMSE:0.97960997
MAE:0.77258843| RMSE:0.9796099
MAE:0.77258956| RMSE:0.97960955
MAE:0.7725888| RMSE:0.9796099
MAE:0.77258694| RMSE:0.9796087
MAE:0.7725883| RMSE:0.97960913
MAE:0.7725878| RMSE:0.9796084
MAE:0.77258754| RMSE:0.9796079
MAE:0.7725881| RMSE:0.9796087
MAE:0.77258855| RMSE:0.97960913
MAE:0.7725893| RMSE:0.97960913
MAE:0.7725891| RMSE:0.9796091
MAE:0.7725888| RMSE:0.9796097
MAE:0.7725893| RMSE:0.9796096
MAE:0.7725895| RMSE:0.97960967
MAE:0.7725892| RMSE:0.9796097
MAE:0.7725899| RMSE:0.9796098
MAE:0.77259016| RMSE:0.97960955
MAE:0.7725898| RMSE:0.9796101
MAE:0.7725894| RMSE:0.97961
MAE:0.7725902| RMSE:0.97960967
MAE:0.7725907| RMSE:0.9796099
MAE:0.7725902| RMSE:0.97960967
MAE:0.772591| RMSE:0.97961015
MAE:0.77259076| RMSE:0.9796105
MAE:0.77259094| RMSE:0.9796102
MAE:0.77259076| RMSE:0.9796101
MAE:0.77259123| RMSE:0.9796102
MAE:0.772591| RMSE:0.9796102
MAE:0.7725913| RMSE:0.97961015
MAE:0.77259123| RMSE:0.97961044
MAE:0.7725908| RMSE:0.97961044
MAE:0.7725907| RMSE:0.9796102
MAE:0.77259094| RMSE:0.9796101
MAE:0.7725907| RMSE:0.9796098
MAE:0.7725907| RMSE:0.97961
