d: 20
lambda: 0.001
gamma: 0.8
rho: 1.0
fnTrainingData: ../ML100K/generality/copy2.train
fnTestData: ../ML100K/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_1_100K_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5222917| RMSE:2.7535381
MAE:0.76355654| RMSE:0.9678491
MAE:0.76526606| RMSE:0.9697585
MAE:0.76073694| RMSE:0.9608827
MAE:0.75896746| RMSE:0.96442246
MAE:0.76118165| RMSE:0.9614522
MAE:0.75908244| RMSE:0.96305215
MAE:0.7600856| RMSE:0.9620086
MAE:0.7597034| RMSE:0.9624549
MAE:0.75980765| RMSE:0.9622278
MAE:0.7598089| RMSE:0.9623167
MAE:0.75976473| RMSE:0.96228987
MAE:0.75980544| RMSE:0.96223545
MAE:0.7597884| RMSE:0.9622866
MAE:0.75979185| RMSE:0.962248
MAE:0.7597591| RMSE:0.96227366
MAE:0.75973874| RMSE:0.96222603
MAE:0.7597344| RMSE:0.9622441
MAE:0.75978106| RMSE:0.96229416
MAE:0.75979| RMSE:0.96230197
MAE:0.759846| RMSE:0.9623318
MAE:0.75983804| RMSE:0.96231776
MAE:0.7598468| RMSE:0.96231407
MAE:0.7598776| RMSE:0.96232724
MAE:0.75985664| RMSE:0.9622936
MAE:0.75982654| RMSE:0.9622769
MAE:0.7598378| RMSE:0.96228236
MAE:0.7598071| RMSE:0.9622658
MAE:0.7598198| RMSE:0.9622762
MAE:0.7598033| RMSE:0.9622641
MAE:0.7598117| RMSE:0.9622663
MAE:0.75979334| RMSE:0.96225196
MAE:0.75979865| RMSE:0.96226525
MAE:0.75980204| RMSE:0.96226686
MAE:0.75979704| RMSE:0.96226335
MAE:0.7597969| RMSE:0.9622617
MAE:0.7597813| RMSE:0.96224475
MAE:0.7597759| RMSE:0.9622309
MAE:0.7597778| RMSE:0.9622331
MAE:0.75978| RMSE:0.9622352
MAE:0.75978196| RMSE:0.96222943
MAE:0.7597834| RMSE:0.9622275
MAE:0.75978166| RMSE:0.96222734
MAE:0.7597853| RMSE:0.96222925
MAE:0.75978214| RMSE:0.9622284
MAE:0.7597858| RMSE:0.9622286
MAE:0.75978464| RMSE:0.9622274
MAE:0.759783| RMSE:0.96222574
MAE:0.7597844| RMSE:0.96222615
MAE:0.75977874| RMSE:0.96222234
MAE:0.7597765| RMSE:0.9622222
MAE:0.75977504| RMSE:0.96221954
MAE:0.759776| RMSE:0.9622176
MAE:0.7597736| RMSE:0.96221846
MAE:0.75977314| RMSE:0.96221733
MAE:0.75977564| RMSE:0.96221715
MAE:0.7597731| RMSE:0.9622188
MAE:0.75977504| RMSE:0.9622185
MAE:0.7597744| RMSE:0.9622181
MAE:0.7597742| RMSE:0.96221703
MAE:0.7597748| RMSE:0.9622179
MAE:0.7597759| RMSE:0.9622181
MAE:0.75977606| RMSE:0.96221846
MAE:0.75977576| RMSE:0.9622175
MAE:0.75977623| RMSE:0.9622183
MAE:0.75977576| RMSE:0.96221805
MAE:0.75977534| RMSE:0.9622175
MAE:0.75977546| RMSE:0.96221817
MAE:0.7597747| RMSE:0.9622188
MAE:0.7597749| RMSE:0.9622181
MAE:0.7597748| RMSE:0.96221757
MAE:0.75977486| RMSE:0.96221757
MAE:0.75977504| RMSE:0.96221757
MAE:0.75977486| RMSE:0.9622173
MAE:0.7597748| RMSE:0.96221805
MAE:0.7597749| RMSE:0.96221817
MAE:0.75977397| RMSE:0.9622176
MAE:0.75977415| RMSE:0.9622176
MAE:0.75977397| RMSE:0.9622179
MAE:0.7597746| RMSE:0.9622182
MAE:0.75977445| RMSE:0.96221846
MAE:0.75977445| RMSE:0.9622183
MAE:0.75977445| RMSE:0.9622186
MAE:0.7597745| RMSE:0.9622185
MAE:0.759775| RMSE:0.9622186
MAE:0.75977516| RMSE:0.9622187
MAE:0.7597747| RMSE:0.96221864
MAE:0.7597746| RMSE:0.9622186
MAE:0.7597744| RMSE:0.96221846
MAE:0.7597746| RMSE:0.9622187
MAE:0.7597747| RMSE:0.96221876
MAE:0.7597749| RMSE:0.9622188
MAE:0.7597749| RMSE:0.9622186
MAE:0.759775| RMSE:0.9622184
