d: 20
lambda: 0.001
gamma: 0.8
rho: 0.0
fnTrainingData: ../ML1M/generality/copy3.train
fnTestData: ../ML1M/generality/copy3.test
fnOutputData: ./testResult/FPMF_0.001_0_1M_copy_3.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823417| RMSE:2.8127806
MAE:1.9661671| RMSE:2.2263064
MAE:0.99830085| RMSE:1.2998844
MAE:1.6321806| RMSE:1.8826187
MAE:0.7948235| RMSE:1.0409983
MAE:0.85965353| RMSE:1.0365703
MAE:0.726789| RMSE:0.9432692
MAE:0.74027205| RMSE:0.9222358
MAE:0.7166298| RMSE:0.91163373
MAE:0.7196952| RMSE:0.9106688
MAE:0.71932745| RMSE:0.9104929
MAE:0.71917164| RMSE:0.9104075
MAE:0.71911615| RMSE:0.9103409
MAE:0.7190676| RMSE:0.91028494
MAE:0.7190198| RMSE:0.9102292
MAE:0.71898013| RMSE:0.9101791
MAE:0.7189428| RMSE:0.91013247
MAE:0.718909| RMSE:0.91008854
MAE:0.71888125| RMSE:0.9100504
MAE:0.7188521| RMSE:0.910014
MAE:0.7188262| RMSE:0.9099831
MAE:0.7187989| RMSE:0.90994793
MAE:0.718783| RMSE:0.9099253
MAE:0.71875924| RMSE:0.90989345
MAE:0.71873915| RMSE:0.909868
MAE:0.7187244| RMSE:0.9098495
MAE:0.71870756| RMSE:0.9098267
MAE:0.7186965| RMSE:0.90981185
MAE:0.71868277| RMSE:0.90979487
MAE:0.7186715| RMSE:0.9097788
MAE:0.7186596| RMSE:0.9097642
MAE:0.7186501| RMSE:0.90975296
MAE:0.71864074| RMSE:0.9097418
MAE:0.7186335| RMSE:0.90973383
MAE:0.7186268| RMSE:0.9097232
MAE:0.7186217| RMSE:0.90971535
MAE:0.7186154| RMSE:0.90970886
MAE:0.71860886| RMSE:0.9097032
MAE:0.7186051| RMSE:0.9096984
MAE:0.71859974| RMSE:0.9096914
MAE:0.7185968| RMSE:0.90968716
MAE:0.7185926| RMSE:0.9096822
MAE:0.71859014| RMSE:0.90967834
MAE:0.7185872| RMSE:0.90967476
MAE:0.7185847| RMSE:0.9096713
MAE:0.71858335| RMSE:0.90966964
MAE:0.7185807| RMSE:0.9096666
MAE:0.7185788| RMSE:0.9096643
MAE:0.71857697| RMSE:0.90966237
MAE:0.7185753| RMSE:0.9096601
MAE:0.7185739| RMSE:0.90965825
MAE:0.7185729| RMSE:0.9096574
MAE:0.71857184| RMSE:0.9096558
MAE:0.71857095| RMSE:0.90965474
MAE:0.7185699| RMSE:0.90965354
MAE:0.7185693| RMSE:0.9096524
MAE:0.7185688| RMSE:0.9096517
MAE:0.71856785| RMSE:0.90965086
MAE:0.7185668| RMSE:0.9096502
MAE:0.7185664| RMSE:0.90964955
MAE:0.7185656| RMSE:0.90964895
MAE:0.71856475| RMSE:0.909648
MAE:0.7185645| RMSE:0.90964746
MAE:0.71856415| RMSE:0.9096472
MAE:0.71856403| RMSE:0.9096469
MAE:0.7185638| RMSE:0.9096465
MAE:0.7185636| RMSE:0.9096461
MAE:0.7185633| RMSE:0.90964586
MAE:0.718563| RMSE:0.9096458
MAE:0.7185628| RMSE:0.90964544
MAE:0.7185627| RMSE:0.90964514
MAE:0.71856254| RMSE:0.90964496
MAE:0.7185625| RMSE:0.9096446
MAE:0.71856236| RMSE:0.90964454
MAE:0.7185623| RMSE:0.90964437
MAE:0.7185625| RMSE:0.90964437
MAE:0.71856225| RMSE:0.9096441
MAE:0.71856225| RMSE:0.909644
MAE:0.718562| RMSE:0.90964395
MAE:0.71856207| RMSE:0.9096439
MAE:0.718562| RMSE:0.9096438
MAE:0.718562| RMSE:0.9096438
MAE:0.718562| RMSE:0.9096437
MAE:0.7185618| RMSE:0.90964365
MAE:0.7185619| RMSE:0.9096436
MAE:0.71856177| RMSE:0.9096436
MAE:0.71856177| RMSE:0.9096436
MAE:0.71856177| RMSE:0.9096435
MAE:0.7185617| RMSE:0.9096434
MAE:0.7185617| RMSE:0.9096434
MAE:0.7185616| RMSE:0.90964335
MAE:0.7185616| RMSE:0.90964335
MAE:0.7185616| RMSE:0.90964335
MAE:0.7185616| RMSE:0.90964335
