d: 20
lambda: 0.001
gamma: 0.8
rho: 0.0
fnTrainingData: ../ML1M/generality/copy4.train
fnTestData: ../ML1M/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_0_1M_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:1.6481695| RMSE:1.8577185
MAE:0.9999797| RMSE:1.3035016
MAE:1.8078282| RMSE:2.0354588
MAE:0.7902944| RMSE:1.0340786
MAE:0.8521016| RMSE:1.0285122
MAE:0.7266072| RMSE:0.9422456
MAE:0.7411453| RMSE:0.9230745
MAE:0.7180101| RMSE:0.9129079
MAE:0.72158915| RMSE:0.91202277
MAE:0.72054523| RMSE:0.9118348
MAE:0.7205522| RMSE:0.911756
MAE:0.7204817| RMSE:0.91167194
MAE:0.7204203| RMSE:0.9115951
MAE:0.7203591| RMSE:0.9115215
MAE:0.72030336| RMSE:0.9114556
MAE:0.72025263| RMSE:0.91139674
MAE:0.72021| RMSE:0.91134053
MAE:0.72016793| RMSE:0.91128963
MAE:0.72013205| RMSE:0.91124296
MAE:0.7201008| RMSE:0.91119564
MAE:0.7200705| RMSE:0.91115445
MAE:0.7200408| RMSE:0.9111192
MAE:0.72001255| RMSE:0.91108364
MAE:0.7199881| RMSE:0.9110527
MAE:0.7199655| RMSE:0.91102415
MAE:0.7199426| RMSE:0.910999
MAE:0.7199242| RMSE:0.91097236
MAE:0.7199043| RMSE:0.9109498
MAE:0.7198873| RMSE:0.9109302
MAE:0.71987414| RMSE:0.9109113
MAE:0.7198613| RMSE:0.9108961
MAE:0.71985024| RMSE:0.91088295
MAE:0.7198403| RMSE:0.9108701
MAE:0.7198321| RMSE:0.9108592
MAE:0.7198239| RMSE:0.9108491
MAE:0.71981674| RMSE:0.91083956
MAE:0.71981| RMSE:0.91082954
MAE:0.7198042| RMSE:0.9108219
MAE:0.719799| RMSE:0.91081524
MAE:0.7197936| RMSE:0.91080934
MAE:0.7197904| RMSE:0.9108029
MAE:0.7197851| RMSE:0.9107975
MAE:0.7197824| RMSE:0.91079235
MAE:0.71977854| RMSE:0.9107876
MAE:0.71977484| RMSE:0.91078377
MAE:0.71977276| RMSE:0.9107801
MAE:0.7197705| RMSE:0.9107769
MAE:0.71976876| RMSE:0.91077465
MAE:0.7197675| RMSE:0.91077197
MAE:0.71976525| RMSE:0.91076994
MAE:0.7197637| RMSE:0.91076773
MAE:0.71976167| RMSE:0.91076607
MAE:0.7197605| RMSE:0.9107642
MAE:0.7197594| RMSE:0.9107628
MAE:0.7197585| RMSE:0.91076136
MAE:0.7197572| RMSE:0.91076034
MAE:0.71975625| RMSE:0.9107591
MAE:0.71975565| RMSE:0.91075855
MAE:0.7197547| RMSE:0.9107578
MAE:0.719754| RMSE:0.9107572
MAE:0.7197537| RMSE:0.91075635
MAE:0.7197532| RMSE:0.91075575
MAE:0.7197526| RMSE:0.91075504
MAE:0.7197524| RMSE:0.91075444
MAE:0.7197522| RMSE:0.910754
MAE:0.71975183| RMSE:0.91075337
MAE:0.71975154| RMSE:0.91075295
MAE:0.7197513| RMSE:0.91075265
MAE:0.7197507| RMSE:0.91075236
MAE:0.71975046| RMSE:0.91075224
MAE:0.71975017| RMSE:0.91075206
MAE:0.7197501| RMSE:0.91075164
MAE:0.71975005| RMSE:0.91075134
MAE:0.7197497| RMSE:0.9107511
MAE:0.7197498| RMSE:0.9107509
MAE:0.7197497| RMSE:0.9107508
MAE:0.7197497| RMSE:0.9107507
MAE:0.7197494| RMSE:0.9107506
MAE:0.71974933| RMSE:0.9107505
MAE:0.7197494| RMSE:0.9107504
MAE:0.7197493| RMSE:0.91075027
MAE:0.71974915| RMSE:0.9107501
MAE:0.7197491| RMSE:0.9107499
MAE:0.7197489| RMSE:0.91075003
MAE:0.7197489| RMSE:0.91075
MAE:0.71974885| RMSE:0.9107498
MAE:0.71974885| RMSE:0.9107497
MAE:0.7197488| RMSE:0.9107495
MAE:0.7197487| RMSE:0.91074955
MAE:0.7197486| RMSE:0.91074955
MAE:0.7197486| RMSE:0.91074944
MAE:0.71974856| RMSE:0.9107495
MAE:0.7197486| RMSE:0.91074944
