d: 20
lambda: 0.001
gamma: 0.8
rho: 1.0
fnTrainingData: ../ML1M/generality/copy4.train
fnTestData: ../ML1M/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_1_1M_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:2.5821278| RMSE:2.813787
MAE:1.9568205| RMSE:2.1609747
MAE:1.0133693| RMSE:1.3178761
MAE:1.5488793| RMSE:1.7602988
MAE:0.89336175| RMSE:1.1521509
MAE:0.92600816| RMSE:1.1073076
MAE:0.7680506| RMSE:0.99707294
MAE:0.76920295| RMSE:0.95646393
MAE:0.75010896| RMSE:0.95311606
MAE:0.7521434| RMSE:0.9502608
MAE:0.7515755| RMSE:0.95057064
MAE:0.7516019| RMSE:0.95055526
MAE:0.7516175| RMSE:0.9505518
MAE:0.75159097| RMSE:0.9505173
MAE:0.75158536| RMSE:0.9505198
MAE:0.7515826| RMSE:0.9505074
MAE:0.75160855| RMSE:0.9505503
MAE:0.75159496| RMSE:0.95053315
MAE:0.75157905| RMSE:0.95052874
MAE:0.75157684| RMSE:0.95051926
MAE:0.7515836| RMSE:0.9505276
MAE:0.7515806| RMSE:0.9505222
MAE:0.7515771| RMSE:0.9505219
MAE:0.7515896| RMSE:0.95054054
MAE:0.7515853| RMSE:0.9505369
MAE:0.7515939| RMSE:0.9505432
MAE:0.7515941| RMSE:0.9505443
MAE:0.7515972| RMSE:0.9505427
MAE:0.7515901| RMSE:0.9505388
MAE:0.7515866| RMSE:0.9505375
MAE:0.7515825| RMSE:0.95053285
MAE:0.75157946| RMSE:0.95052654
MAE:0.75157964| RMSE:0.9505298
MAE:0.75157803| RMSE:0.9505262
MAE:0.7515755| RMSE:0.95052123
MAE:0.75156564| RMSE:0.950515
MAE:0.75156647| RMSE:0.9505131
MAE:0.7515674| RMSE:0.95051503
MAE:0.7515635| RMSE:0.9505121
MAE:0.75156516| RMSE:0.9505102
MAE:0.75156474| RMSE:0.9505112
MAE:0.7515667| RMSE:0.9505104
MAE:0.7515689| RMSE:0.95051223
MAE:0.75156873| RMSE:0.9505138
MAE:0.75156754| RMSE:0.95051533
MAE:0.7515713| RMSE:0.9505161
MAE:0.751571| RMSE:0.9505168
MAE:0.75156975| RMSE:0.9505152
MAE:0.7515693| RMSE:0.9505135
MAE:0.75156844| RMSE:0.9505135
MAE:0.75156873| RMSE:0.95051396
MAE:0.7515678| RMSE:0.9505133
MAE:0.75156856| RMSE:0.95051295
MAE:0.7515699| RMSE:0.9505133
MAE:0.7515682| RMSE:0.95051277
MAE:0.7515674| RMSE:0.95051295
MAE:0.7515665| RMSE:0.95051116
MAE:0.75156623| RMSE:0.95051134
MAE:0.75156605| RMSE:0.9505114
MAE:0.7515667| RMSE:0.95051116
MAE:0.7515649| RMSE:0.950511
MAE:0.7515665| RMSE:0.95051134
MAE:0.7515658| RMSE:0.95051134
MAE:0.7515654| RMSE:0.9505121
MAE:0.75156647| RMSE:0.950512
MAE:0.75156623| RMSE:0.9505122
MAE:0.75156593| RMSE:0.95051205
MAE:0.75156623| RMSE:0.95051223
MAE:0.7515665| RMSE:0.9505112
MAE:0.75156766| RMSE:0.95051175
MAE:0.75156665| RMSE:0.95051223
MAE:0.75156724| RMSE:0.9505123
MAE:0.7515679| RMSE:0.95051223
MAE:0.7515677| RMSE:0.95051265
MAE:0.751568| RMSE:0.9505123
MAE:0.7515678| RMSE:0.9505123
MAE:0.7515678| RMSE:0.9505122
MAE:0.7515681| RMSE:0.9505119
MAE:0.75156844| RMSE:0.9505117
MAE:0.7515679| RMSE:0.95051193
MAE:0.75156826| RMSE:0.9505118
MAE:0.751568| RMSE:0.95051175
MAE:0.75156826| RMSE:0.95051193
MAE:0.751568| RMSE:0.9505121
MAE:0.751568| RMSE:0.9505122
MAE:0.75156796| RMSE:0.95051223
MAE:0.7515677| RMSE:0.95051247
MAE:0.7515678| RMSE:0.9505123
MAE:0.751568| RMSE:0.95051235
MAE:0.7515679| RMSE:0.95051223
MAE:0.7515679| RMSE:0.9505124
MAE:0.7515678| RMSE:0.9505123
MAE:0.75156796| RMSE:0.95051235
MAE:0.7515681| RMSE:0.9505124
