d: 20
lambda: 0.001
gamma: 0.8
rho: 2.0
fnTrainingData: ../ML1M/generality/copy1.train
fnTestData: ../ML1M/generality/copy1.test
fnOutputData: ./testResult/FPMF_0.001_2_1M_copy_1.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
MAE:2.5796762| RMSE:2.811369
MAE:2.5796762| RMSE:2.811369
MAE:2.5796762| RMSE:2.811369
MAE:2.5796762| RMSE:2.811369
MAE:2.5796762| RMSE:2.811369
MAE:2.5796762| RMSE:2.811369
MAE:2.5796762| RMSE:2.811369
MAE:2.5796762| RMSE:2.811369
MAE:2.4833403| RMSE:2.702291
MAE:0.7603661| RMSE:0.9740492
MAE:0.7815857| RMSE:0.9722178
MAE:0.7642824| RMSE:0.9772967
MAE:0.7737898| RMSE:0.96670616
MAE:0.76358426| RMSE:0.9705114
MAE:0.76677513| RMSE:0.9653127
MAE:0.7645972| RMSE:0.9666485
MAE:0.7651171| RMSE:0.96615595
MAE:0.7650345| RMSE:0.96622926
MAE:0.7650463| RMSE:0.9662031
MAE:0.7650444| RMSE:0.966205
MAE:0.76502645| RMSE:0.96619827
MAE:0.76504606| RMSE:0.9662018
MAE:0.76502097| RMSE:0.9661911
MAE:0.7650227| RMSE:0.9662019
MAE:0.7650094| RMSE:0.96618813
MAE:0.76501983| RMSE:0.9661963
MAE:0.76502067| RMSE:0.9661972
MAE:0.765004| RMSE:0.966196
MAE:0.76500714| RMSE:0.96618044
MAE:0.7650141| RMSE:0.96618825
MAE:0.7650136| RMSE:0.9661927
MAE:0.7650099| RMSE:0.9661915
MAE:0.7649997| RMSE:0.96617734
MAE:0.76499724| RMSE:0.9661777
MAE:0.7650018| RMSE:0.9661749
MAE:0.7650059| RMSE:0.96617836
MAE:0.76501316| RMSE:0.966178
MAE:0.76500714| RMSE:0.9661795
MAE:0.7650134| RMSE:0.9661799
MAE:0.7650134| RMSE:0.96618354
MAE:0.76501596| RMSE:0.9661817
MAE:0.7650172| RMSE:0.9661796
MAE:0.76501983| RMSE:0.9661785
MAE:0.7650212| RMSE:0.9661794
MAE:0.7650232| RMSE:0.96618146
MAE:0.76502275| RMSE:0.9661831
MAE:0.76502544| RMSE:0.9661821
MAE:0.76502526| RMSE:0.9661845
MAE:0.765026| RMSE:0.9661851
MAE:0.7650248| RMSE:0.9661877
MAE:0.76502573| RMSE:0.9661863
MAE:0.7650256| RMSE:0.966188
MAE:0.76502675| RMSE:0.9661887
MAE:0.7650279| RMSE:0.9661885
MAE:0.7650249| RMSE:0.9661888
MAE:0.76502746| RMSE:0.9661881
MAE:0.7650265| RMSE:0.9661872
MAE:0.76502496| RMSE:0.96618706
MAE:0.765024| RMSE:0.96618783
MAE:0.76502514| RMSE:0.96618694
MAE:0.76502514| RMSE:0.96618766
MAE:0.76502377| RMSE:0.966188
MAE:0.7650237| RMSE:0.9661873
MAE:0.76502347| RMSE:0.96618724
MAE:0.76502275| RMSE:0.9661864
MAE:0.7650232| RMSE:0.9661856
MAE:0.76502365| RMSE:0.9661859
MAE:0.7650229| RMSE:0.9661873
MAE:0.7650237| RMSE:0.96618736
MAE:0.76502293| RMSE:0.9661865
MAE:0.76502323| RMSE:0.9661863
MAE:0.76502436| RMSE:0.9661867
MAE:0.765024| RMSE:0.96618664
MAE:0.76502424| RMSE:0.9661862
MAE:0.765024| RMSE:0.96618664
MAE:0.76502377| RMSE:0.96618634
MAE:0.7650242| RMSE:0.9661858
MAE:0.7650239| RMSE:0.9661864
MAE:0.7650232| RMSE:0.9661865
MAE:0.76502365| RMSE:0.96618617
MAE:0.7650231| RMSE:0.96618664
MAE:0.7650234| RMSE:0.9661866
MAE:0.76502323| RMSE:0.9661868
MAE:0.76502377| RMSE:0.9661865
MAE:0.765024| RMSE:0.9661865
MAE:0.7650237| RMSE:0.9661867
MAE:0.76502323| RMSE:0.96618646
MAE:0.76502323| RMSE:0.96618664
MAE:0.76502347| RMSE:0.9661864
MAE:0.76502323| RMSE:0.96618617
MAE:0.76502347| RMSE:0.9661865
MAE:0.7650237| RMSE:0.9661865
MAE:0.76502347| RMSE:0.96618676
MAE:0.7650234| RMSE:0.9661865
MAE:0.76502323| RMSE:0.96618634
MAE:0.76502335| RMSE:0.9661864
MAE:0.76502323| RMSE:0.96618634
MAE:0.7650231| RMSE:0.96618646
MAE:0.7650231| RMSE:0.96618634
MAE:0.7650231| RMSE:0.9661863
MAE:0.7650232| RMSE:0.96618634
