d: 20
lambda: 0.001
gamma: 0.8
rho: 1.0
fnTrainingData: ../ML1M/generality/copy2.train
fnTestData: ../ML1M/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_1_1M_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.2388682| RMSE:2.4459844
MAE:0.8700729| RMSE:1.1456364
MAE:1.1296118| RMSE:1.3199039
MAE:0.8645611| RMSE:1.1288453
MAE:0.9351281| RMSE:1.1148704
MAE:0.7684747| RMSE:0.9987448
MAE:0.76869905| RMSE:0.9551847
MAE:0.7502727| RMSE:0.9499542
MAE:0.75023574| RMSE:0.9484157
MAE:0.7497406| RMSE:0.9485711
MAE:0.7498156| RMSE:0.94857067
MAE:0.74979365| RMSE:0.9485533
MAE:0.74978495| RMSE:0.94853663
MAE:0.7497717| RMSE:0.94853795
MAE:0.7497727| RMSE:0.948544
MAE:0.7497909| RMSE:0.9485537
MAE:0.7498111| RMSE:0.9485753
MAE:0.7498129| RMSE:0.94856584
MAE:0.74980396| RMSE:0.94856524
MAE:0.7498024| RMSE:0.9485603
MAE:0.74979967| RMSE:0.9485511
MAE:0.74980193| RMSE:0.94856006
MAE:0.74980426| RMSE:0.94856274
MAE:0.74980223| RMSE:0.9485581
MAE:0.7497999| RMSE:0.94856393
MAE:0.7498009| RMSE:0.94857323
MAE:0.749798| RMSE:0.94856066
MAE:0.74979424| RMSE:0.948561
MAE:0.7497965| RMSE:0.9485622
MAE:0.74980307| RMSE:0.9485684
MAE:0.7497997| RMSE:0.9485651
MAE:0.7498| RMSE:0.94856745
MAE:0.7497999| RMSE:0.94856685
MAE:0.74980223| RMSE:0.94857246
MAE:0.74980426| RMSE:0.9485747
MAE:0.7498059| RMSE:0.94857436
MAE:0.7498035| RMSE:0.94857365
MAE:0.7498027| RMSE:0.9485708
MAE:0.7498032| RMSE:0.94856906
MAE:0.74980026| RMSE:0.94856924
MAE:0.7497999| RMSE:0.9485702
MAE:0.7497963| RMSE:0.9485675
MAE:0.74979854| RMSE:0.94857025
MAE:0.74980074| RMSE:0.9485688
MAE:0.74980015| RMSE:0.9485682
MAE:0.7497993| RMSE:0.94856626
MAE:0.7498005| RMSE:0.9485672
MAE:0.7497989| RMSE:0.9485664
MAE:0.74979717| RMSE:0.94856644
MAE:0.7497982| RMSE:0.94856554
MAE:0.74979955| RMSE:0.9485669
MAE:0.7498007| RMSE:0.948567
MAE:0.7497981| RMSE:0.94856656
MAE:0.74979675| RMSE:0.94856584
MAE:0.74979645| RMSE:0.94856614
MAE:0.74979615| RMSE:0.94856554
MAE:0.74979544| RMSE:0.948566
MAE:0.7497948| RMSE:0.948567
MAE:0.74979466| RMSE:0.9485661
MAE:0.7497962| RMSE:0.94856644
MAE:0.7497965| RMSE:0.948566
MAE:0.74979746| RMSE:0.9485656
MAE:0.7497958| RMSE:0.9485653
MAE:0.7497965| RMSE:0.9485663
MAE:0.7497966| RMSE:0.9485663
MAE:0.7497962| RMSE:0.94856614
MAE:0.7497974| RMSE:0.9485666
MAE:0.7497964| RMSE:0.948566
MAE:0.74979675| RMSE:0.94856614
MAE:0.74979615| RMSE:0.94856614
MAE:0.74979675| RMSE:0.9485662
MAE:0.749797| RMSE:0.948566
MAE:0.74979645| RMSE:0.94856644
MAE:0.7497959| RMSE:0.94856596
MAE:0.7497966| RMSE:0.94856644
MAE:0.7497965| RMSE:0.94856644
MAE:0.74979645| RMSE:0.9485663
MAE:0.7497962| RMSE:0.9485661
MAE:0.74979603| RMSE:0.94856626
MAE:0.7497958| RMSE:0.9485663
MAE:0.7497959| RMSE:0.9485661
MAE:0.74979573| RMSE:0.9485663
MAE:0.749796| RMSE:0.94856656
MAE:0.7497959| RMSE:0.9485664
MAE:0.749796| RMSE:0.94856644
MAE:0.7497958| RMSE:0.9485665
MAE:0.7497957| RMSE:0.94856626
MAE:0.7497956| RMSE:0.9485664
MAE:0.7497957| RMSE:0.9485667
MAE:0.7497956| RMSE:0.9485663
MAE:0.74979573| RMSE:0.94856644
MAE:0.7497957| RMSE:0.94856644
MAE:0.7497956| RMSE:0.94856656
