d: 20
lambda: 0.001
gamma: 0.8
rho: 2.0
fnTrainingData: ../ML100K/generality/copy2.train
fnTestData: ../ML100K/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_2_100K_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.398403| RMSE:2.6181495
MAE:0.8857831| RMSE:1.1578414
MAE:1.1537106| RMSE:1.3491685
MAE:0.97618294| RMSE:1.2665298
MAE:1.1475918| RMSE:1.3420186
MAE:0.8323886| RMSE:1.0873306
MAE:0.8307186| RMSE:1.0165206
MAE:0.77119017| RMSE:0.9869142
MAE:0.77445054| RMSE:0.9745226
MAE:0.771349| RMSE:0.975531
MAE:0.7716644| RMSE:0.9752111
MAE:0.77158225| RMSE:0.9751635
MAE:0.7716469| RMSE:0.9752339
MAE:0.7716244| RMSE:0.97525007
MAE:0.77158713| RMSE:0.97518665
MAE:0.7716399| RMSE:0.975241
MAE:0.7716086| RMSE:0.97523475
MAE:0.7715779| RMSE:0.9751967
MAE:0.7715599| RMSE:0.9752033
MAE:0.77163243| RMSE:0.97525585
MAE:0.7716353| RMSE:0.9752318
MAE:0.77163416| RMSE:0.9752303
MAE:0.7716301| RMSE:0.97522473
MAE:0.77163213| RMSE:0.97524077
MAE:0.77163815| RMSE:0.97524315
MAE:0.7716503| RMSE:0.97524035
MAE:0.7716409| RMSE:0.97523534
MAE:0.7716374| RMSE:0.9752293
MAE:0.7716508| RMSE:0.9752398
MAE:0.7716586| RMSE:0.9752464
MAE:0.77164626| RMSE:0.9752355
MAE:0.77164596| RMSE:0.97523403
MAE:0.7716571| RMSE:0.9752413
MAE:0.7716628| RMSE:0.9752439
MAE:0.7716544| RMSE:0.9752367
MAE:0.77165866| RMSE:0.9752404
MAE:0.7716517| RMSE:0.9752343
MAE:0.7716436| RMSE:0.97522944
MAE:0.77164555| RMSE:0.9752305
MAE:0.7716449| RMSE:0.97523063
MAE:0.7716443| RMSE:0.9752302
MAE:0.7716451| RMSE:0.9752322
MAE:0.77164745| RMSE:0.9752353
MAE:0.77164364| RMSE:0.9752327
MAE:0.77164036| RMSE:0.97523093
MAE:0.7716437| RMSE:0.9752316
MAE:0.77164274| RMSE:0.9752311
MAE:0.7716434| RMSE:0.97523075
MAE:0.7716422| RMSE:0.9752284
MAE:0.77164006| RMSE:0.9752294
MAE:0.7716423| RMSE:0.9752286
MAE:0.7716417| RMSE:0.9752278
MAE:0.7716414| RMSE:0.975226
MAE:0.7716416| RMSE:0.975227
MAE:0.7716425| RMSE:0.9752278
MAE:0.7716456| RMSE:0.97522783
MAE:0.7716461| RMSE:0.9752278
MAE:0.7716468| RMSE:0.97522694
MAE:0.7716464| RMSE:0.9752273
MAE:0.77164763| RMSE:0.97522783
MAE:0.77164793| RMSE:0.97522825
MAE:0.77164656| RMSE:0.9752265
MAE:0.77164686| RMSE:0.97522676
MAE:0.7716476| RMSE:0.97522676
MAE:0.7716486| RMSE:0.975227
MAE:0.77164835| RMSE:0.97522753
MAE:0.77164924| RMSE:0.97522736
MAE:0.77164894| RMSE:0.9752275
MAE:0.77164817| RMSE:0.9752267
MAE:0.7716477| RMSE:0.9752265
MAE:0.77164793| RMSE:0.975226
MAE:0.7716477| RMSE:0.975226
MAE:0.7716475| RMSE:0.975226
MAE:0.7716475| RMSE:0.97522527
MAE:0.7716472| RMSE:0.97522557
MAE:0.77164745| RMSE:0.97522545
MAE:0.77164733| RMSE:0.9752256
MAE:0.77164763| RMSE:0.9752257
MAE:0.77164733| RMSE:0.97522557
MAE:0.77164763| RMSE:0.9752256
MAE:0.77164763| RMSE:0.9752258
MAE:0.771648| RMSE:0.9752258
MAE:0.77164793| RMSE:0.9752259
MAE:0.77164763| RMSE:0.9752258
MAE:0.7716482| RMSE:0.9752259
MAE:0.77164805| RMSE:0.97522575
MAE:0.7716481| RMSE:0.97522575
MAE:0.77164817| RMSE:0.97522587
MAE:0.77164805| RMSE:0.9752257
MAE:0.77164793| RMSE:0.9752258
MAE:0.77164793| RMSE:0.9752258
MAE:0.77164805| RMSE:0.9752256
MAE:0.77164817| RMSE:0.9752258
MAE:0.7716479| RMSE:0.9752257
