d: 20
lambda: 0.001
gamma: 0.8
rho: 1.0
fnTrainingData: ../ML1M/generality/copy5.train
fnTestData: ../ML1M/generality/copy5.test
fnOutputData: ./testResult/FPMF_0.001_1_1M_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
MAE:2.581193| RMSE:2.8127556
MAE:2.581193| RMSE:2.8127556
MAE:2.581193| RMSE:2.8127556
MAE:2.581193| RMSE:2.8127556
MAE:2.581193| RMSE:2.8127556
MAE:2.581193| RMSE:2.8127556
MAE:2.581193| RMSE:2.8127556
MAE:2.581193| RMSE:2.8127556
MAE:2.1064968| RMSE:2.3111796
MAE:0.9463172| RMSE:1.2391925
MAE:1.345543| RMSE:1.5440254
MAE:0.89806795| RMSE:1.1761736
MAE:0.9686018| RMSE:1.1506892
MAE:0.7717288| RMSE:1.0047011
MAE:0.77062374| RMSE:0.9571715
MAE:0.74846244| RMSE:0.9526723
MAE:0.75062346| RMSE:0.94927704
MAE:0.7499485| RMSE:0.94960976
MAE:0.7500165| RMSE:0.9495898
MAE:0.74999326| RMSE:0.94955766
MAE:0.7500078| RMSE:0.9495603
MAE:0.7500055| RMSE:0.94956267
MAE:0.7500043| RMSE:0.94955695
MAE:0.74999946| RMSE:0.9495536
MAE:0.74999905| RMSE:0.94956255
MAE:0.75000274| RMSE:0.9495697
MAE:0.7500011| RMSE:0.9495655
MAE:0.74999875| RMSE:0.94955605
MAE:0.74999857| RMSE:0.9495557
MAE:0.7499847| RMSE:0.9495465
MAE:0.7499964| RMSE:0.9495586
MAE:0.75000834| RMSE:0.9495655
MAE:0.7500076| RMSE:0.9495683
MAE:0.7500099| RMSE:0.94957405
MAE:0.7500101| RMSE:0.94958323
MAE:0.75001377| RMSE:0.9495819
MAE:0.7500126| RMSE:0.9495738
MAE:0.75001484| RMSE:0.9495753
MAE:0.75001115| RMSE:0.9495762
MAE:0.75000846| RMSE:0.9495712
MAE:0.7500119| RMSE:0.94957566
MAE:0.7500062| RMSE:0.94957155
MAE:0.75000906| RMSE:0.94956934
MAE:0.750001| RMSE:0.9495689
MAE:0.750003| RMSE:0.9495683
MAE:0.750004| RMSE:0.949566
MAE:0.75000536| RMSE:0.949567
MAE:0.7500038| RMSE:0.94956815
MAE:0.7500033| RMSE:0.94956744
MAE:0.7500061| RMSE:0.94957095
MAE:0.7500041| RMSE:0.94957066
MAE:0.7500038| RMSE:0.9495695
MAE:0.7500065| RMSE:0.9495707
MAE:0.7500057| RMSE:0.9495712
MAE:0.75000966| RMSE:0.94957227
MAE:0.7500098| RMSE:0.9495715
MAE:0.7500088| RMSE:0.94957036
MAE:0.7500083| RMSE:0.94957143
MAE:0.750007| RMSE:0.9495724
MAE:0.75000596| RMSE:0.94957155
MAE:0.75000685| RMSE:0.9495711
MAE:0.750005| RMSE:0.94957066
MAE:0.7500058| RMSE:0.9495712
MAE:0.75000477| RMSE:0.94957113
MAE:0.75000507| RMSE:0.94957185
MAE:0.75000435| RMSE:0.949571
MAE:0.750004| RMSE:0.9495717
MAE:0.7500038| RMSE:0.9495714
MAE:0.7500032| RMSE:0.9495717
MAE:0.7500037| RMSE:0.9495717
MAE:0.75000334| RMSE:0.9495717
MAE:0.75000405| RMSE:0.9495717
MAE:0.75000405| RMSE:0.9495716
MAE:0.75000435| RMSE:0.9495714
MAE:0.7500043| RMSE:0.9495713
MAE:0.7500046| RMSE:0.9495724
MAE:0.75000393| RMSE:0.94957197
MAE:0.7500038| RMSE:0.9495718
MAE:0.75000453| RMSE:0.9495719
MAE:0.7500041| RMSE:0.94957197
MAE:0.7500038| RMSE:0.9495719
MAE:0.750004| RMSE:0.94957143
MAE:0.75000393| RMSE:0.949572
MAE:0.750004| RMSE:0.9495723
MAE:0.75000376| RMSE:0.9495721
MAE:0.7500041| RMSE:0.94957215
MAE:0.750004| RMSE:0.94957227
MAE:0.7500036| RMSE:0.9495725
MAE:0.7500036| RMSE:0.9495723
MAE:0.7500036| RMSE:0.9495723
MAE:0.750004| RMSE:0.9495723
MAE:0.750004| RMSE:0.94957227
MAE:0.750004| RMSE:0.94957197
MAE:0.750004| RMSE:0.94957215
MAE:0.7500037| RMSE:0.9495721
MAE:0.7500037| RMSE:0.9495721
MAE:0.75000376| RMSE:0.94957197
MAE:0.7500037| RMSE:0.94957215
MAE:0.7500035| RMSE:0.94957197
MAE:0.7500037| RMSE:0.94957215
MAE:0.7500037| RMSE:0.94957197
