d: 20
lambda: 0.001
gamma: 0.8
rho: 3.0
fnTrainingData: ../ML100K/generality/copy2.train
fnTestData: ../ML100K/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_3_100K_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5352366| RMSE:2.7692173
MAE:0.80660075| RMSE:0.99678844
MAE:0.8104649| RMSE:1.0535586
MAE:0.87731004| RMSE:1.0637711
MAE:0.8183948| RMSE:1.0660355
MAE:0.8410957| RMSE:1.027248
MAE:0.78196293| RMSE:1.0045239
MAE:0.78656286| RMSE:0.98330957
MAE:0.77767104| RMSE:0.98406637
MAE:0.7789821| RMSE:0.9826577
MAE:0.7786848| RMSE:0.9827567
MAE:0.7787427| RMSE:0.98275095
MAE:0.7787455| RMSE:0.9828101
MAE:0.77880144| RMSE:0.98284656
MAE:0.7788057| RMSE:0.98286206
MAE:0.7788114| RMSE:0.98285466
MAE:0.77881736| RMSE:0.9828649
MAE:0.77883464| RMSE:0.9828833
MAE:0.7788019| RMSE:0.98287493
MAE:0.7787886| RMSE:0.98284763
MAE:0.7788123| RMSE:0.9828545
MAE:0.77880824| RMSE:0.98285145
MAE:0.7788039| RMSE:0.98283666
MAE:0.7788044| RMSE:0.9828362
MAE:0.7787877| RMSE:0.98283166
MAE:0.77879834| RMSE:0.9828336
MAE:0.77882504| RMSE:0.9828628
MAE:0.77883613| RMSE:0.9828718
MAE:0.7788311| RMSE:0.9828672
MAE:0.7788272| RMSE:0.9828666
MAE:0.7788295| RMSE:0.9828698
MAE:0.778836| RMSE:0.9828773
MAE:0.77883214| RMSE:0.9828772
MAE:0.7788238| RMSE:0.9828656
MAE:0.7788298| RMSE:0.9828717
MAE:0.7788306| RMSE:0.98287046
MAE:0.7788339| RMSE:0.9828722
MAE:0.77883464| RMSE:0.9828726
MAE:0.7788303| RMSE:0.98286873
MAE:0.77882826| RMSE:0.9828677
MAE:0.77882814| RMSE:0.98286676
MAE:0.77882653| RMSE:0.9828647
MAE:0.7788283| RMSE:0.9828659
MAE:0.7788275| RMSE:0.98286617
MAE:0.778828| RMSE:0.9828655
MAE:0.77882653| RMSE:0.98286694
MAE:0.7788261| RMSE:0.98286575
MAE:0.7788253| RMSE:0.9828647
MAE:0.7788253| RMSE:0.9828649
MAE:0.7788251| RMSE:0.9828664
MAE:0.7788236| RMSE:0.98286587
MAE:0.7788218| RMSE:0.98286575
MAE:0.7788209| RMSE:0.9828656
MAE:0.7788219| RMSE:0.9828652
MAE:0.77881986| RMSE:0.9828656
MAE:0.77881986| RMSE:0.9828647
MAE:0.7788201| RMSE:0.9828647
MAE:0.7788201| RMSE:0.98286426
MAE:0.77882075| RMSE:0.9828643
MAE:0.7788198| RMSE:0.98286426
MAE:0.7788201| RMSE:0.98286355
MAE:0.77881926| RMSE:0.9828634
MAE:0.778819| RMSE:0.9828632
MAE:0.7788213| RMSE:0.9828628
MAE:0.77882063| RMSE:0.9828629
MAE:0.7788205| RMSE:0.982863
MAE:0.7788202| RMSE:0.9828633
MAE:0.77882034| RMSE:0.9828629
MAE:0.77882063| RMSE:0.982863
MAE:0.7788212| RMSE:0.9828631
MAE:0.7788213| RMSE:0.982863
MAE:0.7788214| RMSE:0.98286265
MAE:0.7788213| RMSE:0.98286337
MAE:0.7788212| RMSE:0.98286307
MAE:0.7788214| RMSE:0.982863
MAE:0.77882105| RMSE:0.98286325
MAE:0.77882093| RMSE:0.9828629
MAE:0.7788206| RMSE:0.9828629
MAE:0.7788206| RMSE:0.98286265
MAE:0.77882034| RMSE:0.98286253
MAE:0.77882063| RMSE:0.9828626
MAE:0.77882063| RMSE:0.98286283
MAE:0.77882075| RMSE:0.98286295
MAE:0.7788209| RMSE:0.9828632
MAE:0.7788208| RMSE:0.9828631
MAE:0.77882093| RMSE:0.98286295
MAE:0.77882123| RMSE:0.9828629
MAE:0.7788212| RMSE:0.9828629
MAE:0.7788212| RMSE:0.982863
MAE:0.77882093| RMSE:0.9828631
MAE:0.7788212| RMSE:0.98286295
MAE:0.7788214| RMSE:0.9828629
MAE:0.77882135| RMSE:0.9828631
MAE:0.7788214| RMSE:0.9828631
