d: 20
lambda: 0.001
gamma: 0.8
rho: 0.0
fnTrainingData: ../ML100K/generality/copy5.train
fnTestData: ../ML100K/generality/copy5.test
fnOutputData: ./testResult/FPMF_0.001_0_100K_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
MAE:2.53195| RMSE:2.7700632
MAE:2.53195| RMSE:2.7700632
MAE:2.53195| RMSE:2.7700632
MAE:2.53195| RMSE:2.7700632
MAE:2.53195| RMSE:2.7700632
MAE:2.53195| RMSE:2.7700632
MAE:2.53195| RMSE:2.7700632
MAE:2.4370315| RMSE:2.6654332
MAE:0.8223827| RMSE:1.0692304
MAE:1.0139099| RMSE:1.2310567
MAE:0.8315463| RMSE:1.0933492
MAE:0.9956333| RMSE:1.1880178
MAE:0.7794944| RMSE:1.0200284
MAE:0.80750644| RMSE:0.9914507
MAE:0.7406345| RMSE:0.94891226
MAE:0.747302| RMSE:0.9432294
MAE:0.7424906| RMSE:0.94191056
MAE:0.74296004| RMSE:0.9417246
MAE:0.74277735| RMSE:0.94154704
MAE:0.7426589| RMSE:0.9413971
MAE:0.7425339| RMSE:0.9412414
MAE:0.74242777| RMSE:0.9411072
MAE:0.742327| RMSE:0.9409823
MAE:0.74225736| RMSE:0.94089437
MAE:0.7421568| RMSE:0.9407634
MAE:0.7420814| RMSE:0.9406677
MAE:0.7420289| RMSE:0.94060326
MAE:0.741947| RMSE:0.94050246
MAE:0.74188834| RMSE:0.9404309
MAE:0.74183536| RMSE:0.9403624
MAE:0.7417855| RMSE:0.9402997
MAE:0.74174255| RMSE:0.9402449
MAE:0.7417021| RMSE:0.94019216
MAE:0.7416794| RMSE:0.94016576
MAE:0.74163616| RMSE:0.9401072
MAE:0.74160695| RMSE:0.94007593
MAE:0.7415778| RMSE:0.9400368
MAE:0.74155426| RMSE:0.94000536
MAE:0.7415311| RMSE:0.9399778
MAE:0.7415117| RMSE:0.93995404
MAE:0.7414922| RMSE:0.9399286
MAE:0.74147373| RMSE:0.9399087
MAE:0.7414606| RMSE:0.9398901
MAE:0.7414463| RMSE:0.939873
MAE:0.74143916| RMSE:0.9398632
MAE:0.7414236| RMSE:0.9398466
MAE:0.7414129| RMSE:0.93983334
MAE:0.7414044| RMSE:0.9398218
MAE:0.7413982| RMSE:0.9398126
MAE:0.74139076| RMSE:0.93980354
MAE:0.7413866| RMSE:0.9397983
MAE:0.7413787| RMSE:0.9397881
MAE:0.74137324| RMSE:0.9397813
MAE:0.7413679| RMSE:0.9397753
MAE:0.7413632| RMSE:0.93977004
MAE:0.7413594| RMSE:0.939765
MAE:0.74135524| RMSE:0.939761
MAE:0.74135244| RMSE:0.9397584
MAE:0.7413491| RMSE:0.9397542
MAE:0.74134636| RMSE:0.93975055
MAE:0.74134374| RMSE:0.93974775
MAE:0.7413407| RMSE:0.9397452
MAE:0.7413389| RMSE:0.9397433
MAE:0.74133694| RMSE:0.93974113
MAE:0.7413346| RMSE:0.9397396
MAE:0.7413338| RMSE:0.9397378
MAE:0.7413322| RMSE:0.9397353
MAE:0.7413325| RMSE:0.9397343
MAE:0.74133193| RMSE:0.939734
MAE:0.7413309| RMSE:0.939733
MAE:0.7413302| RMSE:0.9397317
MAE:0.74132967| RMSE:0.93973106
MAE:0.7413293| RMSE:0.9397306
MAE:0.74132884| RMSE:0.9397298
MAE:0.7413283| RMSE:0.9397291
MAE:0.74132794| RMSE:0.93972886
MAE:0.7413279| RMSE:0.93972814
MAE:0.7413275| RMSE:0.939728
MAE:0.741327| RMSE:0.9397277
MAE:0.7413269| RMSE:0.93972737
MAE:0.74132663| RMSE:0.939727
MAE:0.7413262| RMSE:0.93972623
MAE:0.74132544| RMSE:0.9397259
MAE:0.7413251| RMSE:0.9397254
MAE:0.74132484| RMSE:0.93972504
MAE:0.741325| RMSE:0.9397247
MAE:0.74132466| RMSE:0.93972456
MAE:0.74132454| RMSE:0.9397245
MAE:0.74132425| RMSE:0.9397245
MAE:0.74132407| RMSE:0.9397245
MAE:0.7413241| RMSE:0.93972456
MAE:0.74132395| RMSE:0.93972427
MAE:0.7413239| RMSE:0.9397242
MAE:0.7413238| RMSE:0.93972415
MAE:0.74132377| RMSE:0.9397242
MAE:0.7413237| RMSE:0.93972397
MAE:0.7413234| RMSE:0.9397238
MAE:0.7413234| RMSE:0.9397238
MAE:0.7413234| RMSE:0.9397237
MAE:0.74132335| RMSE:0.93972355
MAE:0.7413233| RMSE:0.9397235
