d: 20
lambda: 0.001
gamma: 0.8
rho: 3.0
fnTrainingData: ../ML1M/generality/copy2.train
fnTestData: ../ML1M/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_3_1M_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5824826| RMSE:2.8137915
MAE:2.5671892| RMSE:2.7951348
MAE:0.8198226| RMSE:1.004125
MAE:0.81447285| RMSE:1.06155
MAE:0.8669719| RMSE:1.0478723
MAE:0.79314923| RMSE:1.0299177
MAE:0.80163103| RMSE:0.98854864
MAE:0.77067244| RMSE:0.9828932
MAE:0.77412117| RMSE:0.974482
MAE:0.77181005| RMSE:0.9755396
MAE:0.7721095| RMSE:0.97526795
MAE:0.7720958| RMSE:0.97527957
MAE:0.7721115| RMSE:0.9752945
MAE:0.77211046| RMSE:0.97529083
MAE:0.7721117| RMSE:0.9752956
MAE:0.77211475| RMSE:0.9753055
MAE:0.7721078| RMSE:0.975295
MAE:0.7721052| RMSE:0.97529584
MAE:0.77210873| RMSE:0.9752916
MAE:0.77210605| RMSE:0.9752885
MAE:0.77210534| RMSE:0.9752777
MAE:0.7721013| RMSE:0.9752795
MAE:0.7721034| RMSE:0.97527826
MAE:0.7720984| RMSE:0.9752832
MAE:0.77210045| RMSE:0.97528195
MAE:0.7721043| RMSE:0.97527945
MAE:0.7721016| RMSE:0.9752773
MAE:0.7721009| RMSE:0.97527534
MAE:0.772099| RMSE:0.97527665
MAE:0.77209896| RMSE:0.9752774
MAE:0.77210504| RMSE:0.97527945
MAE:0.7721057| RMSE:0.97528607
MAE:0.7721028| RMSE:0.9752828
MAE:0.77210045| RMSE:0.9752818
MAE:0.7720957| RMSE:0.9752795
MAE:0.77209795| RMSE:0.9752807
MAE:0.7720989| RMSE:0.9752813
MAE:0.7720962| RMSE:0.97527856
MAE:0.77209777| RMSE:0.97527754
MAE:0.77209675| RMSE:0.9752767
MAE:0.7721014| RMSE:0.9752783
MAE:0.772101| RMSE:0.9752774
MAE:0.77210027| RMSE:0.9752795
MAE:0.77210075| RMSE:0.9752772
MAE:0.7721012| RMSE:0.9752773
MAE:0.77210224| RMSE:0.9752773
MAE:0.7721027| RMSE:0.97527707
MAE:0.7721031| RMSE:0.9752773
MAE:0.7721024| RMSE:0.9752761
MAE:0.7721013| RMSE:0.97527725
MAE:0.77210253| RMSE:0.9752778
MAE:0.7721038| RMSE:0.975279
MAE:0.7721022| RMSE:0.9752782
MAE:0.77210253| RMSE:0.9752791
MAE:0.7721012| RMSE:0.9752791
MAE:0.77210146| RMSE:0.9752788
MAE:0.77210295| RMSE:0.9752781
MAE:0.7721008| RMSE:0.9752783
MAE:0.77210075| RMSE:0.9752784
MAE:0.7721003| RMSE:0.9752781
MAE:0.77210104| RMSE:0.97527885
MAE:0.77210116| RMSE:0.97527856
MAE:0.7721007| RMSE:0.9752779
MAE:0.7720999| RMSE:0.97527766
MAE:0.7721009| RMSE:0.9752783
MAE:0.77210057| RMSE:0.9752782
MAE:0.7721007| RMSE:0.9752784
MAE:0.77210057| RMSE:0.97527796
MAE:0.77210104| RMSE:0.9752782
MAE:0.77210116| RMSE:0.9752784
MAE:0.7721007| RMSE:0.975279
MAE:0.7721003| RMSE:0.97527874
MAE:0.7721009| RMSE:0.9752788
MAE:0.77210075| RMSE:0.97527844
MAE:0.77210057| RMSE:0.97527856
MAE:0.7721008| RMSE:0.9752785
MAE:0.7721014| RMSE:0.9752788
MAE:0.77210104| RMSE:0.9752787
MAE:0.772101| RMSE:0.9752786
MAE:0.772101| RMSE:0.97527856
MAE:0.77210104| RMSE:0.9752785
MAE:0.7721009| RMSE:0.9752786
MAE:0.772101| RMSE:0.97527856
MAE:0.7721012| RMSE:0.9752786
MAE:0.77210104| RMSE:0.97527856
MAE:0.77210146| RMSE:0.9752788
MAE:0.77210104| RMSE:0.9752787
MAE:0.77210104| RMSE:0.97527885
MAE:0.772101| RMSE:0.9752787
MAE:0.7721009| RMSE:0.9752787
MAE:0.7721009| RMSE:0.9752787
MAE:0.772101| RMSE:0.97527874
MAE:0.772101| RMSE:0.97527874
MAE:0.7721009| RMSE:0.97527856
