d: 20
lambda: 0.001
gamma: 0.8
rho: 3.0
fnTrainingData: ../ML100K/generality/copy1.train
fnTestData: ../ML100K/generality/copy1.test
fnOutputData: ./testResult/FPMF_0.001_3_100K_copy_1.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.4077811| RMSE:2.6360924
MAE:0.8899331| RMSE:1.1643875
MAE:1.1192251| RMSE:1.3147279
MAE:0.9812125| RMSE:1.2778503
MAE:1.1369454| RMSE:1.3325827
MAE:0.85128534| RMSE:1.110693
MAE:0.8495161| RMSE:1.0382943
MAE:0.7913285| RMSE:1.0121508
MAE:0.79404837| RMSE:0.99921227
MAE:0.7911233| RMSE:1.0005361
MAE:0.7913973| RMSE:1.0001808
MAE:0.7913403| RMSE:1.000144
MAE:0.7912891| RMSE:1.0000724
MAE:0.7913591| RMSE:1.0001686
MAE:0.7913228| RMSE:1.0001305
MAE:0.7912863| RMSE:1.0000914
MAE:0.7912713| RMSE:1.0000851
MAE:0.7912795| RMSE:1.0000821
MAE:0.7912498| RMSE:1.0000471
MAE:0.79126996| RMSE:1.000056
MAE:0.79129004| RMSE:1.0000641
MAE:0.79130536| RMSE:1.0000973
MAE:0.7913013| RMSE:1.0000925
MAE:0.7912904| RMSE:1.000089
MAE:0.791299| RMSE:1.0000877
MAE:0.79129773| RMSE:1.0000904
MAE:0.79131234| RMSE:1.0000961
MAE:0.7913034| RMSE:1.0000902
MAE:0.7913024| RMSE:1.0000857
MAE:0.79130584| RMSE:1.0000798
MAE:0.7913123| RMSE:1.0000898
MAE:0.79131436| RMSE:1.0000825
MAE:0.7913136| RMSE:1.0000863
MAE:0.7913097| RMSE:1.0000805
MAE:0.7913102| RMSE:1.0000831
MAE:0.791314| RMSE:1.0000874
MAE:0.79131556| RMSE:1.0000938
MAE:0.7913197| RMSE:1.000095
MAE:0.7913158| RMSE:1.0000944
MAE:0.7913162| RMSE:1.000099
MAE:0.79131967| RMSE:1.0000992
MAE:0.79131746| RMSE:1.000097
MAE:0.79131645| RMSE:1.0000966
MAE:0.7913151| RMSE:1.0000962
MAE:0.79131716| RMSE:1.0000966
MAE:0.7913167| RMSE:1.0000955
MAE:0.7913165| RMSE:1.0000962
MAE:0.7913172| RMSE:1.000096
MAE:0.791316| RMSE:1.0000943
MAE:0.7913161| RMSE:1.0000957
MAE:0.79131675| RMSE:1.0000958
MAE:0.79131526| RMSE:1.0000952
MAE:0.79131436| RMSE:1.0000952
MAE:0.79131216| RMSE:1.0000925
MAE:0.79131234| RMSE:1.0000936
MAE:0.7913131| RMSE:1.0000938
MAE:0.7913125| RMSE:1.0000937
MAE:0.79131174| RMSE:1.000094
MAE:0.79131204| RMSE:1.0000933
MAE:0.7913116| RMSE:1.0000935
MAE:0.7913117| RMSE:1.0000932
MAE:0.79131156| RMSE:1.0000924
MAE:0.7913119| RMSE:1.0000931
MAE:0.7913123| RMSE:1.0000939
MAE:0.7913116| RMSE:1.0000938
MAE:0.7913125| RMSE:1.0000935
MAE:0.79131204| RMSE:1.0000937
MAE:0.7913128| RMSE:1.0000936
MAE:0.79131144| RMSE:1.0000938
MAE:0.7913119| RMSE:1.0000943
MAE:0.79131174| RMSE:1.0000943
MAE:0.7913119| RMSE:1.0000945
MAE:0.7913121| RMSE:1.0000943
MAE:0.7913118| RMSE:1.000095
MAE:0.791312| RMSE:1.0000948
MAE:0.7913122| RMSE:1.0000944
MAE:0.7913123| RMSE:1.0000948
MAE:0.79131234| RMSE:1.0000943
MAE:0.79131204| RMSE:1.0000942
MAE:0.79131246| RMSE:1.0000944
MAE:0.79131263| RMSE:1.0000943
MAE:0.7913123| RMSE:1.000094
MAE:0.7913123| RMSE:1.0000943
MAE:0.79131246| RMSE:1.0000943
MAE:0.7913123| RMSE:1.000094
MAE:0.79131234| RMSE:1.0000942
MAE:0.7913123| RMSE:1.0000939
MAE:0.7913122| RMSE:1.000094
MAE:0.79131216| RMSE:1.0000938
MAE:0.7913121| RMSE:1.0000939
MAE:0.7913121| RMSE:1.000094
MAE:0.79131204| RMSE:1.0000939
MAE:0.7913121| RMSE:1.0000938
MAE:0.79131216| RMSE:1.0000938
