d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy4.train
fnTestData: ../ML100K/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_3_5_10_100K_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 3.0
num_iterations: 100
start_hybrid_averaging_iterations: 5
local_train_iterations: 10
Iter:0| MAE:2.5244| RMSE:2.7652848
Iter:1| MAE:1.5765502| RMSE:1.9941341
Iter:2| MAE:1.1066308| RMSE:1.4850249
Iter:3| MAE:0.89047986| RMSE:1.181615
Iter:4| MAE:0.8311899| RMSE:1.0870465
Iter:5| MAE:0.80073065| RMSE:1.0196519
Iter:6| MAE:0.78712595| RMSE:0.99864715
Iter:7| MAE:0.7628235| RMSE:0.9658823
Iter:8| MAE:0.75545585| RMSE:0.95653385
Iter:9| MAE:0.752071| RMSE:0.9514456
Iter:10| MAE:0.74966437| RMSE:0.94832927
Iter:11| MAE:0.74806356| RMSE:0.9472591
Iter:12| MAE:0.746634| RMSE:0.94478846
Iter:13| MAE:0.7458781| RMSE:0.9444564
Iter:14| MAE:0.7456117| RMSE:0.9432151
Iter:15| MAE:0.74491745| RMSE:0.942539
Iter:16| MAE:0.7442022| RMSE:0.9419086
Iter:17| MAE:0.743944| RMSE:0.9420233
Iter:18| MAE:0.7436479| RMSE:0.94169694
Iter:19| MAE:0.7437695| RMSE:0.9421689
Iter:20| MAE:0.7434155| RMSE:0.94154954
Iter:21| MAE:0.74354523| RMSE:0.94169927
Iter:22| MAE:0.74394083| RMSE:0.94179237
Iter:23| MAE:0.7439099| RMSE:0.9417483
Iter:24| MAE:0.74355644| RMSE:0.94121385
Iter:25| MAE:0.7430034| RMSE:0.94063693
Iter:26| MAE:0.7433112| RMSE:0.94101065
Iter:27| MAE:0.7434636| RMSE:0.9409837
Iter:28| MAE:0.74340343| RMSE:0.9410303
Iter:29| MAE:0.7432218| RMSE:0.9408649
Iter:30| MAE:0.7429167| RMSE:0.9406503
Iter:31| MAE:0.74298006| RMSE:0.9407751
Iter:32| MAE:0.7429971| RMSE:0.940797
Iter:33| MAE:0.7430147| RMSE:0.9405897
Iter:34| MAE:0.74304396| RMSE:0.9405961
Iter:35| MAE:0.7430551| RMSE:0.9405006
Iter:36| MAE:0.74299467| RMSE:0.94043124
Iter:37| MAE:0.7429722| RMSE:0.9404484
Iter:38| MAE:0.74300665| RMSE:0.9403994
Iter:39| MAE:0.74293804| RMSE:0.9403391
Iter:40| MAE:0.74292034| RMSE:0.94029677
Iter:41| MAE:0.74282646| RMSE:0.940304
