d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy2.train
fnTestData: ../ML1M/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_1_5_15_1M_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 1.0
num_iterations: 100
start_hybrid_averaging_iterations: 5
local_train_iterations: 15
Iter:0| MAE:2.5824826| RMSE:2.8137915
Iter:1| MAE:1.5433723| RMSE:1.974298
Iter:2| MAE:1.0435874| RMSE:1.4189119
Iter:3| MAE:0.8583723| RMSE:1.1421726
Iter:4| MAE:0.78255475| RMSE:1.0161054
Iter:5| MAE:0.75964904| RMSE:0.97518444
Iter:6| MAE:0.7521894| RMSE:0.95947826
Iter:7| MAE:0.7254282| RMSE:0.9208972
Iter:8| MAE:0.7171188| RMSE:0.90881604
Iter:9| MAE:0.7090332| RMSE:0.8992849
Iter:10| MAE:0.70470977| RMSE:0.89360017
Iter:11| MAE:0.7015169| RMSE:0.8902686
Iter:12| MAE:0.69897336| RMSE:0.887361
Iter:13| MAE:0.6965745| RMSE:0.88493156
Iter:14| MAE:0.6950659| RMSE:0.88312984
Iter:15| MAE:0.69348896| RMSE:0.88149816
Iter:16| MAE:0.6921916| RMSE:0.87976414
Iter:17| MAE:0.6910425| RMSE:0.8785681
Iter:18| MAE:0.69005346| RMSE:0.8774285
Iter:19| MAE:0.6888429| RMSE:0.8761231
Iter:20| MAE:0.687893| RMSE:0.8751986
Iter:21| MAE:0.6872292| RMSE:0.8741879
Iter:22| MAE:0.68644947| RMSE:0.87346935
Iter:23| MAE:0.6857456| RMSE:0.8727818
Iter:24| MAE:0.6854024| RMSE:0.8724143
Iter:25| MAE:0.6847533| RMSE:0.87165666
Iter:26| MAE:0.6843985| RMSE:0.87118256
Iter:27| MAE:0.68399274| RMSE:0.8707605
Iter:28| MAE:0.68361896| RMSE:0.8703485
Iter:29| MAE:0.6831131| RMSE:0.869982
Iter:30| MAE:0.68291813| RMSE:0.86963636
Iter:31| MAE:0.68262094| RMSE:0.869328
Iter:32| MAE:0.6824226| RMSE:0.8691109
