d: 20
lambda: 0.001
delta_o: 1.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy3.train
fnTestData: ../ML1M/generality/copy3.test
fnOutputData: ./testResult/FSVD_0.001_2_1M_copy_3.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 2.0
num_iterations: 100
Iter:0| MAE:2.5823426| RMSE:2.8127823
Iter:1| MAE:0.9764067| RMSE:1.258851
Iter:2| MAE:0.84313303| RMSE:1.069284
Iter:3| MAE:0.8054506| RMSE:1.0355698
Iter:4| MAE:0.77709246| RMSE:0.9744217
Iter:5| MAE:0.75689054| RMSE:0.95252895
Iter:6| MAE:0.7458231| RMSE:0.9506058
Iter:7| MAE:0.73981833| RMSE:0.94114995
Iter:8| MAE:0.73416036| RMSE:0.93188524
Iter:9| MAE:0.73115826| RMSE:0.93376327
Iter:10| MAE:0.72858936| RMSE:0.931792
Iter:11| MAE:0.72592825| RMSE:0.9292296
Iter:12| MAE:0.7238198| RMSE:0.92590237
Iter:13| MAE:0.720867| RMSE:0.92280823
Iter:14| MAE:0.7198719| RMSE:0.92298055
Iter:15| MAE:0.7182541| RMSE:0.91690993
Iter:16| MAE:0.7174192| RMSE:0.9192133
Iter:17| MAE:0.7164345| RMSE:0.916768
Iter:18| MAE:0.7158462| RMSE:0.9172442
Iter:19| MAE:0.7154357| RMSE:0.91663957
Iter:20| MAE:0.7146133| RMSE:0.914274
Iter:21| MAE:0.71315366| RMSE:0.9112722
Iter:22| MAE:0.71284264| RMSE:0.91247225
Iter:23| MAE:0.7125065| RMSE:0.91151434
Iter:24| MAE:0.71202433| RMSE:0.9092536
Iter:25| MAE:0.7115716| RMSE:0.90980124
Iter:26| MAE:0.7109624| RMSE:0.9102942
Iter:27| MAE:0.71054304| RMSE:0.90852284
Iter:28| MAE:0.7104222| RMSE:0.9087419
Iter:29| MAE:0.71044105| RMSE:0.9077404
Iter:30| MAE:0.7099812| RMSE:0.90798706
Iter:31| MAE:0.7098051| RMSE:0.9074469
Iter:32| MAE:0.70962363| RMSE:0.9068784
Iter:33| MAE:0.7093551| RMSE:0.90623695
Iter:34| MAE:0.7095256| RMSE:0.90621287
Iter:35| MAE:0.70901835| RMSE:0.905809
Iter:36| MAE:0.70896804| RMSE:0.9059782
Iter:37| MAE:0.7088381| RMSE:0.90589595
Iter:38| MAE:0.7089095| RMSE:0.9052418
Iter:39| MAE:0.70872563| RMSE:0.90514636
Iter:40| MAE:0.70865476| RMSE:0.90535957
Iter:41| MAE:0.70864254| RMSE:0.90482104
Iter:42| MAE:0.70835674| RMSE:0.90484285
Iter:43| MAE:0.70817083| RMSE:0.9046032
Iter:44| MAE:0.70829666| RMSE:0.9043802
Iter:45| MAE:0.708319| RMSE:0.90444905
Iter:46| MAE:0.70833766| RMSE:0.90450156
Iter:47| MAE:0.7082515| RMSE:0.9040838
Iter:48| MAE:0.7081491| RMSE:0.9042573
Iter:49| MAE:0.70814866| RMSE:0.90375143
Iter:50| MAE:0.70811427| RMSE:0.9040349
Iter:51| MAE:0.70803523| RMSE:0.90371525
Iter:52| MAE:0.7081012| RMSE:0.9036785
Iter:53| MAE:0.7080089| RMSE:0.90367395
Iter:54| MAE:0.7079293| RMSE:0.9037478
Iter:55| MAE:0.7079505| RMSE:0.9034525
Iter:56| MAE:0.70792335| RMSE:0.90351576
Iter:57| MAE:0.70796764| RMSE:0.9035732
Iter:58| MAE:0.7079789| RMSE:0.9034807
Iter:59| MAE:0.70797694| RMSE:0.903439
Iter:60| MAE:0.7078922| RMSE:0.9034747
Iter:61| MAE:0.7079434| RMSE:0.90337944
Iter:62| MAE:0.7078501| RMSE:0.903265
Iter:63| MAE:0.7078649| RMSE:0.9033371
Iter:64| MAE:0.7078705| RMSE:0.9033855
Iter:65| MAE:0.7077902| RMSE:0.903292
Iter:66| MAE:0.7077591| RMSE:0.9031873
Iter:67| MAE:0.7077987| RMSE:0.90326446
Iter:68| MAE:0.7077714| RMSE:0.90326345
Iter:69| MAE:0.7077854| RMSE:0.90322137
Iter:70| MAE:0.7077859| RMSE:0.9032526
Iter:71| MAE:0.70780927| RMSE:0.9032469
Iter:72| MAE:0.70777863| RMSE:0.9032345
Iter:73| MAE:0.7077522| RMSE:0.9031638
Iter:74| MAE:0.70773536| RMSE:0.90316564
Iter:75| MAE:0.70771354| RMSE:0.9032266
Iter:76| MAE:0.70771325| RMSE:0.9031985
Iter:77| MAE:0.70773005| RMSE:0.9031566
Iter:78| MAE:0.70772684| RMSE:0.90312266
Iter:79| MAE:0.7077339| RMSE:0.903107
Iter:80| MAE:0.7077329| RMSE:0.90316457
Iter:81| MAE:0.70774794| RMSE:0.90316385
Iter:82| MAE:0.7077311| RMSE:0.90309614
Iter:83| MAE:0.70773435| RMSE:0.9030764
Iter:84| MAE:0.70772654| RMSE:0.9031
Iter:85| MAE:0.70773065| RMSE:0.90306866
Iter:86| MAE:0.7077283| RMSE:0.9030801
Iter:87| MAE:0.7077309| RMSE:0.90304995
Iter:88| MAE:0.70773935| RMSE:0.9030446
Iter:89| MAE:0.70774335| RMSE:0.90301335
Iter:90| MAE:0.7077467| RMSE:0.9029917
Iter:91| MAE:0.7077421| RMSE:0.90299046
Iter:92| MAE:0.7077522| RMSE:0.9029532
Iter:93| MAE:0.70776147| RMSE:0.90289533
Iter:94| MAE:0.70777184| RMSE:0.9028761
Iter:95| MAE:0.7077778| RMSE:0.90284467
Iter:96| MAE:0.7077791| RMSE:0.90281594
Iter:97| MAE:0.7077891| RMSE:0.90275115
Iter:98| MAE:0.70779926| RMSE:0.9027151
Iter:99| MAE:0.7078028| RMSE:0.9026965
MAE:0.70781165| RMSE:0.9026387
