d: 20
lambda: 0.001
delta_o: 1.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy2.train
fnTestData: ../ML1M/generality/copy2.test
fnOutputData: ./testResult/FSVD_0.001_0_1M_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 0.0
num_iterations: 100
Iter:0| MAE:2.5824826| RMSE:2.8137915
Iter:1| MAE:0.8960559| RMSE:1.1238185
Iter:2| MAE:0.79392296| RMSE:1.0201707
Iter:3| MAE:0.755061| RMSE:0.95619875
Iter:4| MAE:0.7248972| RMSE:0.923005
Iter:5| MAE:0.70861995| RMSE:0.9030554
Iter:6| MAE:0.6988326| RMSE:0.8949418
Iter:7| MAE:0.6922316| RMSE:0.88231754
Iter:8| MAE:0.6871608| RMSE:0.8777553
Iter:9| MAE:0.68346| RMSE:0.8726747
Iter:10| MAE:0.68028355| RMSE:0.86820924
Iter:11| MAE:0.67757076| RMSE:0.8655094
Iter:12| MAE:0.67434746| RMSE:0.86327827
Iter:13| MAE:0.67380345| RMSE:0.86079955
Iter:14| MAE:0.67133415| RMSE:0.8586309
Iter:15| MAE:0.6697572| RMSE:0.8571576
Iter:16| MAE:0.6691395| RMSE:0.85639125
Iter:17| MAE:0.6680668| RMSE:0.8547356
Iter:18| MAE:0.6675482| RMSE:0.85403836
Iter:19| MAE:0.66622996| RMSE:0.85310656
Iter:20| MAE:0.66539633| RMSE:0.85224247
Iter:21| MAE:0.66463363| RMSE:0.85171026
Iter:22| MAE:0.6646109| RMSE:0.8514617
Iter:23| MAE:0.66444135| RMSE:0.85094815
Iter:24| MAE:0.6636139| RMSE:0.85058755
Iter:25| MAE:0.6635615| RMSE:0.8500119
Iter:26| MAE:0.66291034| RMSE:0.8497358
Iter:27| MAE:0.66279334| RMSE:0.84942967
Iter:28| MAE:0.6624394| RMSE:0.8491666
Iter:29| MAE:0.66205746| RMSE:0.84904623
Iter:30| MAE:0.6622079| RMSE:0.8489356
Iter:31| MAE:0.6617671| RMSE:0.8486912
Iter:32| MAE:0.6619131| RMSE:0.84850556
Iter:33| MAE:0.661704| RMSE:0.8483783
Iter:34| MAE:0.6614657| RMSE:0.8481537
Iter:35| MAE:0.6612768| RMSE:0.8480967
Iter:36| MAE:0.6613259| RMSE:0.8480785
Iter:37| MAE:0.6609262| RMSE:0.8479636
Iter:38| MAE:0.6610832| RMSE:0.847965
Iter:39| MAE:0.66093034| RMSE:0.84784055
Iter:40| MAE:0.66090536| RMSE:0.84777445
Iter:41| MAE:0.66082406| RMSE:0.84768045
Iter:42| MAE:0.6608453| RMSE:0.84768987
Iter:43| MAE:0.6607227| RMSE:0.84765035
Iter:44| MAE:0.6607496| RMSE:0.8476104
Iter:45| MAE:0.6606168| RMSE:0.847574
Iter:46| MAE:0.66059035| RMSE:0.84758306
Iter:47| MAE:0.66066444| RMSE:0.8475482
Iter:48| MAE:0.6606307| RMSE:0.84754854
Iter:49| MAE:0.66062605| RMSE:0.8475208
Iter:50| MAE:0.66065127| RMSE:0.84751815
Iter:51| MAE:0.6605366| RMSE:0.84751564
Iter:52| MAE:0.66053075| RMSE:0.84750664
Iter:53| MAE:0.6605361| RMSE:0.84748006
Iter:54| MAE:0.6605345| RMSE:0.8474676
Iter:55| MAE:0.660487| RMSE:0.8474559
Iter:56| MAE:0.66051877| RMSE:0.84746367
Iter:57| MAE:0.6605069| RMSE:0.84744644
Iter:58| MAE:0.6604936| RMSE:0.8474365
Iter:59| MAE:0.6604936| RMSE:0.84742093
Iter:60| MAE:0.6604729| RMSE:0.84741896
Iter:61| MAE:0.6604326| RMSE:0.8474087
Iter:62| MAE:0.6604918| RMSE:0.847401
Iter:63| MAE:0.6604499| RMSE:0.8474091
Iter:64| MAE:0.6604619| RMSE:0.84740454
Iter:65| MAE:0.6604387| RMSE:0.84739465
Iter:66| MAE:0.660439| RMSE:0.84738564
Iter:67| MAE:0.6604724| RMSE:0.8473733
Iter:68| MAE:0.660444| RMSE:0.84737104
Iter:69| MAE:0.6604239| RMSE:0.8473751
Iter:70| MAE:0.6604518| RMSE:0.8473746
Iter:71| MAE:0.660446| RMSE:0.8473678
Iter:72| MAE:0.6604457| RMSE:0.8473637
Iter:73| MAE:0.6604477| RMSE:0.8473611
Iter:74| MAE:0.6604211| RMSE:0.8473637
Iter:75| MAE:0.66042465| RMSE:0.8473641
Iter:76| MAE:0.6604312| RMSE:0.84736294
Iter:77| MAE:0.6604125| RMSE:0.8473683
Iter:78| MAE:0.6604123| RMSE:0.84736717
Iter:79| MAE:0.6604176| RMSE:0.84736717
Iter:80| MAE:0.6604183| RMSE:0.8473654
Iter:81| MAE:0.6604291| RMSE:0.8473594
Iter:82| MAE:0.6604063| RMSE:0.84736043
Iter:83| MAE:0.66041327| RMSE:0.84735745
Iter:84| MAE:0.66041905| RMSE:0.84735656
Iter:85| MAE:0.66042| RMSE:0.84735507
Iter:86| MAE:0.6604206| RMSE:0.8473537
Iter:87| MAE:0.6604203| RMSE:0.8473526
Iter:88| MAE:0.66041726| RMSE:0.84735376
Iter:89| MAE:0.66041946| RMSE:0.8473524
Iter:90| MAE:0.6604171| RMSE:0.8473531
Iter:91| MAE:0.6604188| RMSE:0.8473533
Iter:92| MAE:0.66042733| RMSE:0.8473543
Iter:93| MAE:0.66043043| RMSE:0.84735495
Iter:94| MAE:0.66042906| RMSE:0.8473526
Iter:95| MAE:0.6604317| RMSE:0.84735245
Iter:96| MAE:0.6604422| RMSE:0.84735024
Iter:97| MAE:0.6604437| RMSE:0.84735066
Iter:98| MAE:0.6604469| RMSE:0.84735036
Iter:99| MAE:0.66045487| RMSE:0.84735125
MAE:0.6604619| RMSE:0.8473501
