d: 20
lambda: 0.001
delta_o: 1.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy5.train
fnTestData: ../ML1M/generality/copy5.test
fnOutputData: ./testResult/FSVD_0.001_2_1M_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 2.0
num_iterations: 100
Iter:0| MAE:2.581193| RMSE:2.8127556
Iter:1| MAE:0.93151885| RMSE:1.1982571
Iter:2| MAE:0.89380074| RMSE:1.1606674
Iter:3| MAE:0.8111759| RMSE:1.0459068
Iter:4| MAE:0.76896334| RMSE:0.98232704
Iter:5| MAE:0.7569384| RMSE:0.9677595
Iter:6| MAE:0.74441516| RMSE:0.9528216
Iter:7| MAE:0.73841304| RMSE:0.93868816
Iter:8| MAE:0.73510474| RMSE:0.94095266
Iter:9| MAE:0.7291556| RMSE:0.9325365
Iter:10| MAE:0.72712404| RMSE:0.92623866
Iter:11| MAE:0.7240242| RMSE:0.92298126
Iter:12| MAE:0.72358835| RMSE:0.9219182
Iter:13| MAE:0.7206116| RMSE:0.92038846
Iter:14| MAE:0.71949327| RMSE:0.92046976
Iter:15| MAE:0.7191487| RMSE:0.9214744
Iter:16| MAE:0.71653926| RMSE:0.91745377
Iter:17| MAE:0.71621966| RMSE:0.914772
Iter:18| MAE:0.71565783| RMSE:0.9143339
Iter:19| MAE:0.7148962| RMSE:0.9146927
Iter:20| MAE:0.71401435| RMSE:0.9142864
Iter:21| MAE:0.71361905| RMSE:0.91172737
Iter:22| MAE:0.7128091| RMSE:0.91208774
Iter:23| MAE:0.7111167| RMSE:0.9088355
Iter:24| MAE:0.7117276| RMSE:0.9106541
Iter:25| MAE:0.7108653| RMSE:0.9098857
Iter:26| MAE:0.7107843| RMSE:0.90964234
Iter:27| MAE:0.7102423| RMSE:0.90811247
Iter:28| MAE:0.7101482| RMSE:0.9071688
Iter:29| MAE:0.71027184| RMSE:0.90851474
Iter:30| MAE:0.7098858| RMSE:0.90771884
Iter:31| MAE:0.70967925| RMSE:0.90731454
Iter:32| MAE:0.70934945| RMSE:0.9071673
Iter:33| MAE:0.7090861| RMSE:0.90671366
Iter:34| MAE:0.7092488| RMSE:0.9062405
Iter:35| MAE:0.70894766| RMSE:0.90570337
Iter:36| MAE:0.7087966| RMSE:0.90575117
Iter:37| MAE:0.7085744| RMSE:0.9055268
Iter:38| MAE:0.70859814| RMSE:0.9055529
Iter:39| MAE:0.70868015| RMSE:0.90536636
Iter:40| MAE:0.70863867| RMSE:0.9051627
Iter:41| MAE:0.7081724| RMSE:0.9047759
Iter:42| MAE:0.7084106| RMSE:0.9048406
Iter:43| MAE:0.70825016| RMSE:0.90472573
Iter:44| MAE:0.7081737| RMSE:0.90427524
Iter:45| MAE:0.708072| RMSE:0.9044798
Iter:46| MAE:0.70815307| RMSE:0.90425897
Iter:47| MAE:0.70816004| RMSE:0.9040372
Iter:48| MAE:0.7080823| RMSE:0.90430665
Iter:49| MAE:0.70807797| RMSE:0.90416455
Iter:50| MAE:0.7079736| RMSE:0.90392363
Iter:51| MAE:0.70801646| RMSE:0.9040441
Iter:52| MAE:0.707917| RMSE:0.90385425
Iter:53| MAE:0.70794624| RMSE:0.90381485
Iter:54| MAE:0.7079216| RMSE:0.90389436
Iter:55| MAE:0.7079632| RMSE:0.90368354
Iter:56| MAE:0.70788956| RMSE:0.9036604
Iter:57| MAE:0.7078816| RMSE:0.90362114
Iter:58| MAE:0.70782703| RMSE:0.90365773
Iter:59| MAE:0.7078392| RMSE:0.9036379
Iter:60| MAE:0.7078204| RMSE:0.90368205
Iter:61| MAE:0.7078611| RMSE:0.90362334
Iter:62| MAE:0.70778185| RMSE:0.9034465
Iter:63| MAE:0.70781153| RMSE:0.9035588
Iter:64| MAE:0.7078033| RMSE:0.90341854
Iter:65| MAE:0.70778954| RMSE:0.9034608
Iter:66| MAE:0.70774084| RMSE:0.9034523
Iter:67| MAE:0.7076489| RMSE:0.9033858
Iter:68| MAE:0.7076966| RMSE:0.90339285
Iter:69| MAE:0.707737| RMSE:0.9034266
Iter:70| MAE:0.70777005| RMSE:0.903393
Iter:71| MAE:0.7077992| RMSE:0.9033757
Iter:72| MAE:0.7077406| RMSE:0.90337455
Iter:73| MAE:0.7077491| RMSE:0.903401
Iter:74| MAE:0.70775723| RMSE:0.90337205
Iter:75| MAE:0.70774746| RMSE:0.9033583
Iter:76| MAE:0.70773834| RMSE:0.9033383
Iter:77| MAE:0.7077461| RMSE:0.90333825
Iter:78| MAE:0.70772606| RMSE:0.9033415
Iter:79| MAE:0.70772386| RMSE:0.9033472
Iter:80| MAE:0.7077142| RMSE:0.9033224
Iter:81| MAE:0.70771027| RMSE:0.9032846
Iter:82| MAE:0.7077097| RMSE:0.90329623
Iter:83| MAE:0.7077242| RMSE:0.9032613
Iter:84| MAE:0.7077206| RMSE:0.9032871
Iter:85| MAE:0.70771044| RMSE:0.90327454
Iter:86| MAE:0.707715| RMSE:0.90327084
Iter:87| MAE:0.70773476| RMSE:0.90321165
Iter:88| MAE:0.707724| RMSE:0.9032167
Iter:89| MAE:0.70773| RMSE:0.90319836
Iter:90| MAE:0.70773333| RMSE:0.90317774
Iter:91| MAE:0.7077195| RMSE:0.90316135
Iter:92| MAE:0.70772964| RMSE:0.9031252
Iter:93| MAE:0.7077407| RMSE:0.90308
Iter:94| MAE:0.7077477| RMSE:0.90305334
Iter:95| MAE:0.7077598| RMSE:0.9030277
Iter:96| MAE:0.7077641| RMSE:0.9030132
Iter:97| MAE:0.7077766| RMSE:0.90297604
Iter:98| MAE:0.7077792| RMSE:0.90294474
Iter:99| MAE:0.7077854| RMSE:0.9029094
MAE:0.707791| RMSE:0.90286565
