d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy4.train
fnTestData: ../ML100K/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_3_100K_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 3.0
num_iterations: 100
Iter:0| MAE:2.5244| RMSE:2.7652848
Iter:1| MAE:1.5787721| RMSE:1.9984235
Iter:2| MAE:1.1060314| RMSE:1.4828577
Iter:3| MAE:0.8870969| RMSE:1.169262
Iter:4| MAE:0.8181688| RMSE:1.053467
Iter:5| MAE:0.7970035| RMSE:1.0133454
Iter:6| MAE:0.791825| RMSE:1.0036033
Iter:7| MAE:0.7883545| RMSE:0.9971572
Iter:8| MAE:0.7877478| RMSE:0.99571913
Iter:9| MAE:0.78879976| RMSE:0.9959314
Iter:10| MAE:0.78583616| RMSE:0.9939981
Iter:11| MAE:0.78735894| RMSE:0.9945188
Iter:12| MAE:0.7860982| RMSE:0.99365747
Iter:13| MAE:0.78541344| RMSE:0.9931233
Iter:14| MAE:0.78601056| RMSE:0.9932426
Iter:15| MAE:0.7876599| RMSE:0.9947571
Iter:16| MAE:0.7866749| RMSE:0.99373835
Iter:17| MAE:0.78676844| RMSE:0.9935727
Iter:18| MAE:0.78567743| RMSE:0.99288726
Iter:19| MAE:0.78715205| RMSE:0.9936128
Iter:20| MAE:0.7866515| RMSE:0.99302393
Iter:21| MAE:0.78625375| RMSE:0.9929534
Iter:22| MAE:0.78543645| RMSE:0.9920017
Iter:23| MAE:0.78585124| RMSE:0.9919506
Iter:24| MAE:0.7859669| RMSE:0.9921163
Iter:25| MAE:0.78614014| RMSE:0.9921375
Iter:26| MAE:0.78587127| RMSE:0.99169326
Iter:27| MAE:0.7854107| RMSE:0.9916614
Iter:28| MAE:0.78484917| RMSE:0.99112135
Iter:29| MAE:0.7852264| RMSE:0.9914756
Iter:30| MAE:0.78587073| RMSE:0.9918482
Iter:31| MAE:0.78574026| RMSE:0.99174887
Iter:32| MAE:0.7857716| RMSE:0.9916605
Iter:33| MAE:0.7860341| RMSE:0.9919472
Iter:34| MAE:0.78612816| RMSE:0.9919168
Iter:35| MAE:0.7857802| RMSE:0.9915145
Iter:36| MAE:0.7860232| RMSE:0.9916916
Iter:37| MAE:0.78562045| RMSE:0.991437
Iter:38| MAE:0.78572035| RMSE:0.9914187
Iter:39| MAE:0.78540707| RMSE:0.9911998
Iter:40| MAE:0.7853687| RMSE:0.9910804
Iter:41| MAE:0.7851828| RMSE:0.9908792
Iter:42| MAE:0.78543603| RMSE:0.99105036
Iter:43| MAE:0.7854895| RMSE:0.99110043
Iter:44| MAE:0.7855623| RMSE:0.991114
Iter:45| MAE:0.7854448| RMSE:0.99103886
Iter:46| MAE:0.7853632| RMSE:0.9909444
Iter:47| MAE:0.78535616| RMSE:0.9909712
Iter:48| MAE:0.7854313| RMSE:0.9910006
Iter:49| MAE:0.7854743| RMSE:0.9910464
Iter:50| MAE:0.7854796| RMSE:0.991039
Iter:51| MAE:0.7854417| RMSE:0.991004
Iter:52| MAE:0.7854783| RMSE:0.99101424
Iter:53| MAE:0.78541535| RMSE:0.9909858
Iter:54| MAE:0.78534997| RMSE:0.9909221
Iter:55| MAE:0.7852882| RMSE:0.9908709
Iter:56| MAE:0.78531706| RMSE:0.99088746
Iter:57| MAE:0.78528917| RMSE:0.9908674
Iter:58| MAE:0.78534275| RMSE:0.99091303
Iter:59| MAE:0.78538054| RMSE:0.9909407
Iter:60| MAE:0.7853839| RMSE:0.99093753
Iter:61| MAE:0.78537583| RMSE:0.9909328
Iter:62| MAE:0.7853862| RMSE:0.9909317
Iter:63| MAE:0.78538936| RMSE:0.9909291
