d: 20
lambda: 0.001
delta_o: 1.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy2.train
fnTestData: ../ML100K/generality/copy2.test
fnOutputData: ./testResult/FSVD_0.001_3_100K_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 3.0
num_iterations: 100
Iter:0| MAE:2.5366| RMSE:2.7709925
Iter:1| MAE:0.94963515| RMSE:1.1950372
Iter:2| MAE:0.8591923| RMSE:1.0912492
Iter:3| MAE:0.842618| RMSE:1.0728801
Iter:4| MAE:0.7925988| RMSE:0.9988689
Iter:5| MAE:0.7871551| RMSE:0.99475104
Iter:6| MAE:0.7825662| RMSE:0.9898392
Iter:7| MAE:0.7831041| RMSE:0.98772687
Iter:8| MAE:0.7756187| RMSE:0.98317814
Iter:9| MAE:0.77047| RMSE:0.978388
Iter:10| MAE:0.7674782| RMSE:0.9736708
Iter:11| MAE:0.7700063| RMSE:0.9751974
Iter:12| MAE:0.76680344| RMSE:0.9728954
Iter:13| MAE:0.76507133| RMSE:0.97143424
Iter:14| MAE:0.76412505| RMSE:0.9704679
Iter:15| MAE:0.7613881| RMSE:0.9665139
Iter:16| MAE:0.76038045| RMSE:0.9672042
Iter:17| MAE:0.7611056| RMSE:0.96567607
Iter:18| MAE:0.7601802| RMSE:0.96586424
Iter:19| MAE:0.7585529| RMSE:0.96313184
Iter:20| MAE:0.7580912| RMSE:0.96308005
Iter:21| MAE:0.7572749| RMSE:0.96150905
Iter:22| MAE:0.7580622| RMSE:0.96209264
Iter:23| MAE:0.7564574| RMSE:0.9608376
Iter:24| MAE:0.7573362| RMSE:0.9617396
Iter:25| MAE:0.7560548| RMSE:0.9603127
Iter:26| MAE:0.755546| RMSE:0.9595798
Iter:27| MAE:0.75530344| RMSE:0.9593953
Iter:28| MAE:0.7557172| RMSE:0.95989704
Iter:29| MAE:0.7551043| RMSE:0.9587303
Iter:30| MAE:0.7546403| RMSE:0.9586796
Iter:31| MAE:0.75426257| RMSE:0.95803034
Iter:32| MAE:0.75433815| RMSE:0.95808846
Iter:33| MAE:0.75458574| RMSE:0.9577603
Iter:34| MAE:0.7549777| RMSE:0.9583026
Iter:35| MAE:0.75456035| RMSE:0.9577615
Iter:36| MAE:0.7546569| RMSE:0.95769054
Iter:37| MAE:0.7547299| RMSE:0.9580687
Iter:38| MAE:0.7547098| RMSE:0.9579293
Iter:39| MAE:0.7546961| RMSE:0.95782137
Iter:40| MAE:0.7546026| RMSE:0.95776975
Iter:41| MAE:0.7543071| RMSE:0.95740694
Iter:42| MAE:0.7541014| RMSE:0.95726997
Iter:43| MAE:0.7543329| RMSE:0.9574256
Iter:44| MAE:0.754393| RMSE:0.9573873
Iter:45| MAE:0.7544407| RMSE:0.9572877
Iter:46| MAE:0.75400066| RMSE:0.9568654
